identifier,idProduit,itemId,produitEan13,pviIncrement,capacite,qteMaxPanier,marque,libelle,conditionnement,prix,unitPrice,prixKg,prixBarre,vignetteCollector,poidsMinimum,poidsNet,poidsUnite,volume,isTrad,isPresentAlcoholProduct,avantages,origine,categorie,nbPiece,typeProduit_code,typeProduit_value,typeProduit_uniteByCode,unit_value,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,images_3,pictogrammes_idPicto,pictogrammes_idCategorie,pictogrammes_libelleCategorie,pictogrammes_image,pictogrammes_infoBulle,page,nro_paginas,pictogrammes,pictogrammes_0
48636,8711327533622,48636,8711327533622,1,330.0,99,Magnum,Gelados mini cookie mania,6 x 55 ml,3.99,12.09,12.09,0.0,0,0,0,0,330,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6C4CA188E19A256FBA9C0610912951AA.jpg,,,,69.0,28.0,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8136.png,,1,10,,
2456,7613030924302,2456,7613030924302,1,400.0,99,Yogolino,Nestle iogolino prep iogurte pêra 100g,Embalagem de 400g,2.54,6.35,6.35,0.0,0,400,400,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0257EFADCBBD666D5EC06A8661BCB1CB.jpg,,,,,,,,,1,10,,
5273,5601164902343,5273,5601164902343,1,7920.0,99,Super Bock,Cerveja c/ álcool,pack 24 x 0.33 l,16.99,2.15,2.15,0.0,0,0,0,0,7920,False,False,"[{'dateFin': '2024-07-10T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9036A4A1A895E7D1EC16B298057D65EB.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
13242,2893227000000,13242,2893227000000,200,200.0,99,Peixaria,Robalo de Viveiro,de 200 a 600 g (aprox.),1.16,5.79,5.79,,0,200,200,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: AQUICULTURA - TURQUIA,LOTE: 20,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48561D1FC8B0542874DDBC21F2E9ADCA.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
14865,2696212000000,14865,2696212000000,1,,99,Pastelaria,Folhado Misto 90 g,,0.59,0.59,0.59,,0,0,0,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",-,,0.0,PU,Pièce unitaire,,€/Unidade,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A6753DB758F20AE554301F0A4A50040.jpg,,,,,,,,,1,10,,
13567,2893562000000,13567,2893562000000,250,250.0,99,Marisco,Ameijoa Castanha Vietnamita Congelada,Venda ao Kilo,0.75,2.99,2.99,,0,250,250,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",Z.C.: PACIFICO NOROESTE FAO61,CONG:05/,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/33CC3279E2741F227440A7AFDC3AEEF9.jpg,,,,3644.0,7.0,Avantages !,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8135.png,,1,10,,
12994,2892524000000,12994,2892524000000,100,100.0,99,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.09,0.85,0.85,,0,100,100,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,CATEGORI,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6427FE21A79FA79A1E8CC03E5F3B3703.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
44240,8410500010539,44240,8410500010539,1,1200.0,99,Actimel Danone,"Actimel Kids, 12 x 100 g",,4.69,3.91,3.91,0.0,0,1200,1200,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30A5D0ACB9ED08A0E0975059507175B8.jpg,,,,,,,,,1,10,,
25616,3600541996601,25616,3600541996601,1,400.0,99,Ambre Solaire,Leite Sensitive Advanced FPS 50,Embalagem de 400 ml,14.69,36.73,36.73,0.0,0,0,0,0,400,False,False,"[{'dateFin': '2024-08-07T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-08-07T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4A84DD2D1C700C8FBB4A2F6E295DA36C.jpg,,,,,,,,,1,10,,
29738,8410436324533,29738,8410436324533,1,1300.0,99,Sonasol,Lava Tudo Flores Montanha,1.3 l,2.09,1.61,1.61,0.0,0,0,0,0,1300,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/619CC29EDCFB8BA35BEA4FA4EA1CE5DD.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
46477,5604260317080,46477,5604260317080,1,1500.0,99,PorSi,Sangria tinta,Garrafa de 1.5 litros,1.69,1.13,1.13,0.0,0,0,0,0,1500,False,False,"[{'dateFin': '2024-07-10T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E66F94AA9CE9F7961A29ECAD0CA5F188.jpg,,,,,,,,,1,10,,
2508,7613033279430,2508,7613033279430,1,2000.0,99,Friskies,Ração para gato adulto com atum e legumes selecionados,Embalagem de 2 kg,6.74,3.37,3.37,0.0,0,2000,2000,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9ECB1AE4DF1EE59C9104A4A423144922.jpg,,,,,,,,,1,10,,
12928,2892050000000,12928,2892050000000,2000,2000.0,99,Fruta,Abacaxi,1 un = 2kg ( aprox.),1.98,0.99,0.99,,0,2000,2000,0,0,True,False,"[{'dateFin': '2024-07-10T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: COSTA RICA,CAT.: II,,PVI,Poids variable à intervalle,,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/993B44B8E23C8F727CA72FBC30DDEA70.jpg,,,,,,,,,1,10,,
12888,2892090000000,12888,2892090000000,500,500.0,99,Fruta,Manga Avião,1 un=500 gr (aprox.),2.0,3.99,3.99,,0,500,500,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM:  BRASIL,CAT.: I ,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F9334665091AF30C298FAAAC9CB308C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/842EA0C904154D230A3A6F63A245D264.jpg,,,,,,,,1,10,,
13818,2892584000000,13818,2892584000000,250,250.0,99,Legumes,Pimento Vermelho,1 un=250 gr (aprox.),0.57,2.29,2.29,,0,250,250,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: ESPANHA,CAT.: II,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A89EFDBC825F249BCF5C02ECF326661E.jpg,,,,,,,,,1,10,,
13897,2891053000000,13897,2891053000000,500,1000.0,99,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.98,4.98,4.98,,0,1000,1000,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,,,,,,1,10,,
14921,2892534000000,14921,2892534000000,400,400.0,99,Legumes,Couve Bróculo,Vendido ao peso,0.8,1.99,1.99,,0,400,400,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,CAT.: II,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4F48873F332B6ECE759CD88793270811.jpg,,,,,,,,,1,10,,
13866,2891048000000,13866,2891048000000,500,1000.0,99,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,3.99,,0,1000,1000,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C9E276B082B119EFEDC2A2B0E1BC737E.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
13892,2891041000000,13892,2891041000000,500,1000.0,99,Porco,Costeletas do Lombo,Vendido ao peso a partir de 1 kg,3.89,3.89,3.89,,0,1000,1000,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CEDBCB04142A68CDED3690FB39820D0.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
12940,2892083000000,12940,2892083000000,200,200.0,99,Fruta,Lima,1 un = 200 gr (aprox.),0.7,3.49,3.49,,0,200,200,0,0,True,False,"[{'dateFin': '2024-07-10T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: BRASIL,CAT: I,,PVI,Poids variable à intervalle,,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/20A6BBEF6B12F4FB4181A414DFA3AAB3.jpg,,,,,,,,,1,10,,
13865,2891042000000,13865,2891042000000,500,1000.0,99,Porco,Costeletas do Cachaço,Vendido ao peso a partir de 1 kg,4.88,4.88,4.88,,0,1000,1000,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9CC30521C194F3CF0E71F32C6E004880.jpg,,,,,,,,,1,10,,
15577,5604260279166,15577,5604260279166,1,125.0,99,PorSi,Framboesa,Embalagem com 125g,1.59,12.72,12.72,0.0,0,125,125,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/498DD3B7B51C2A37F7C64567752911E7.jpg,,,,,,,,,1,10,,
16105,5601146703463,16105,5601146703463,1,7500.0,99,Sagres,Cerveja Mini,pack 30 x 0.25 L,13.85,1.85,1.85,0.0,0,0,0,0,7500,False,False,"[{'dateFin': '2024-07-10T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6A268F7D3CFF6A55F6AD0FB91F4E6512.jpg,,,,3682.0,52.0,Cabaz Compromisso,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,1,10,,
1120,5601066301718,1120,5601066301718,1,500.0,99,Nacional,Massa de espirais,Embalagem de 500g,0.93,1.86,1.86,0.0,0,500,500,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53CA28E35AF8AD40FCE8516799A2B51B.jpg,,,,,,,,,1,10,,
1293,5601151398104,1293,5601151398104,1,630.0,99,Compal,Pack de 3 embalagens de polpa de tomate,Embalagem de 630g,1.49,2.37,2.37,0.0,0,630,630,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F7BD591A6A78BA4615EC03A19AC4973.jpg,,,,,,,,,1,10,,
15044,2892296000000,15044,2892296000000,150,150.0,99,Fruta,Pera Packam,1 un = 150 gr (aprox.),0.22,1.49,1.49,,0,150,150,0,0,True,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: AFRICA DO SUL,CAT II,,PVI,Poids variable à intervalle,,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB563A374F4EA6B318353237C8ABEC1F.jpg,,,,,,,,,1,10,,
26772,5449000106186,26772,5449000106186,1,3500.0,99,Coca-Cola,Refrigerante c/ gás,pack 2 x 1.75 l,3.68,1.05,1.05,0.0,0,0,0,0,3500,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D4EC82F15980642AA3BE6E246545A05.jpg,,,,,,,,,1,10,,
41822,7613039868300,41822,7613039868300,1,270.0,99,Nestlé,Cereais estrelitas,Embalagem de 270 g,1.79,6.63,6.63,0.0,0,270,270,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E51167172A600A3809D38F2B4DFA98C.jpg,,,,,,,,,1,10,,
508,3045140105502,508,3045140105502,1,100.0,99,Milka,Tablete chocolate de leite,Embalagem de 100g,1.59,15.9,15.9,0.0,0,100,100,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/913CE6059038FB24D6D6DB0F0F385165.jpg,,,,,,,,,1,10,,
52377,8720181385131,52377,8720181385131,1,,99,Skip,Detergente Máquina Roupa Líquido Sabão Natural,100 Doses,13.99,13.99,13.99,0.0,0,0,0,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,0.0,PU,Pièce unitaire,,€/Unidade,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8D069DB25783C2FC7889DE8456B0590.jpg,,,,,,,,,1,10,,
10639,8712566395514,10639,8712566395514,1,60.0,99,Knorr,"Sopa gourmet, cogumelos",Embalagem de 60g,2.19,36.5,36.5,0.0,0,60,60,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0DE93CCE9C882CDFCAF84912313B4E5.jpg,,,,,,,,,1,10,,
1114,5601066300780,1114,5601066300780,1,500.0,99,Nacional,Massa de macarrão riscado,Embalagem de 500g,0.93,1.86,1.86,0.0,0,500,500,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E586B0F43C13026DBE291FFB6AC87A9.jpg,,,,,,,,,1,10,,
1135,5601082022758,1135,5601082022758,1,250.0,99,Delta,Café torrado lote chávena máquina,Embalagem de 250g,2.49,9.96,9.96,0.0,0,250,250,0,0,False,False,"[{'dateFin': '2024-07-03T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,2024-07-03T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD7C2612036EC6C8F8AE6969B5FDE5AD.jpg,,,,,,,,,1,10,,
11613,5601164864467,11613,5601164864467,1,1320.0,99,Somersby,Sidra maçã,pack 4 x 0.33 l,3.95,2.99,2.99,0.0,0,0,0,0,1320,False,False,"[{'dateFin': '2024-07-10T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6483890D0FF6343894A37D6DC6393C66.jpg,,,,,,,,,1,10,,
