level,isPromo,id,key,title,slug,link,picto,hasAlcohol,index,no_products
3,False,11705,11705,Natas para Bater e Chantilly,natas-para-bater-e-chantilly,/shelves/laticinios-e-ovos/culinaria/natas-para-bater-e-chantilly/11705,,,64,17
3,False,10400,10400,Iogurtes Líquidos,iogurtes-liquidos,/shelves/iogurtes-e-sobremesas/iogurtes/iogurtes-liquidos/10400,,,65,40
3,False,10395,10395,Iogurtes Aromas e Naturais,iogurtes-aromas-e-naturais,/shelves/iogurtes-e-sobremesas/iogurtes/iogurtes-aromas-e-naturais/10395,,,66,25
3,False,10396,10396,Iogurtes Pedaços,iogurtes-pedacos,/shelves/iogurtes-e-sobremesas/iogurtes/iogurtes-pedacos/10396,,,67,14
3,False,10397,10397,Iogurtes Magros,iogurtes-magros,/shelves/iogurtes-e-sobremesas/iogurtes/iogurtes-magros/10397,,,68,12
3,False,10398,10398,Iogurtes Bifidus,iogurtes-bifidus,/shelves/iogurtes-e-sobremesas/iogurtes/iogurtes-bifidus/10398,,,69,10
3,False,11178,11178,Iogurtes Infantis,iogurtes-infantis,/shelves/iogurtes-e-sobremesas/iogurtes/iogurtes-infantis/11178,,,70,21
3,False,11176,11176,Iogurtes Gregos e Kefir,iogurtes-gregos-e-kefir,/shelves/iogurtes-e-sobremesas/iogurtes/iogurtes-gregos-e-kefir/11176,,,71,32
3,False,11177,11177,Iogurtes Proteicos,iogurtes-proteicos,/shelves/iogurtes-e-sobremesas/iogurtes/iogurtes-proteicos/11177,,,72,35
3,False,11175,11175,Iogurtes sem Lactose,iogurtes-sem-lactose,/shelves/iogurtes-e-sobremesas/iogurtes/iogurtes-sem-lactose/11175,,,73,7
3,False,11818,11818,Vegegurtes e Yofu,vegegurtes-e-yofu,/shelves/iogurtes-e-sobremesas/iogurtes/vegegurtes-e-yofu/11818,,,74,19
3,False,10719,10719,Mousses e Pudins,mousses-e-pudins,/shelves/iogurtes-e-sobremesas/sobremesas/mousses-e-pudins/10719,,,75,25
3,False,10800,10800,Gelatinas,gelatinas,/shelves/iogurtes-e-sobremesas/sobremesas/gelatinas/10800,,,76,23
3,False,11799,11799,Fruta,fruta,/shelves/iogurtes-e-sobremesas/sobremesas/fruta/11799,,,77,1
3,False,11715,11715,Arroz,arroz,/shelves/mercearia/arroz-massa-e-farinha/arroz/11715,,,78,35
3,False,11716,11716,Massa,massa,/shelves/mercearia/arroz-massa-e-farinha/massa/11716,,,79,40
