identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3
1456,5601286217639,500.0,Milaneza,Massa farfalle tricolor,Embalagem de 500g,1.26,2.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2CB58ADA26EF1E83B0978C82005EFCEE.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
20264,5000116110872,180.0,Iglo,Crocantes frango parmesão e ervas,Embalagem de 180g,3.74,20.78,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D8CF2D65B55930225EB9E80FCB37828C.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
20433,5601244500070,1000.0,Terra Nostra,Leite de pastagem magro,Embalagem de 1 litro,0.85,0.85,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/61EFC0152A934985E04C1F26B293B085.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E6424B45F8177C670F59F3BF8C085519.jpg,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
21767,7613035487871,90.0,Nestlé,Fruta para bebé multifrutas +4 meses,Embalagem de 90g,0.74,8.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/59D3B6826D610DDEB0688A4041A5FB71.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
2406,5608543000102,30.0,Tetley,Chá preto,Embalagem de 30g,1.29,43.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2CA31FF335EAFD397F63994E5AF9EBC.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
25538,7613035800281,1500.0,Friskies,Ração para gato esterilizado com peru,"Embalagem de 1,5 kg",5.85,3.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F7CBFFFF3C5FDA5053462496D72FDD69.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
41783,5604260303014,100.0,PorSi,Alimento húmido para gato pato e coelho,Embalagem de 100g,0.39,3.9,0,kg,€/Kg,,1000 Artigos,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D72ECF1FB41AC14D938C261F4C55B98C.jpg,,,2024-09-06T23:59:59.999999999+01:00,PROSPECTUS,12,4,
5029,5601028006392,,Renova,"Papel higiénico super, folha dupla, 24 rolos",Uma embalagem,6.19,6.19,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BFA5F98895AD97A0C63C2EDD1896E69F.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
1461,5601286223784,500.0,Milaneza,Massa de cotovelos grandes riscados,Embalagem de 500g,1.19,2.38,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BE1B03BCD6BCED25C712B88921B09E09.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
17269,4084500617421,820.0,Fairy,"Detergente Líquido Lavar Loiça Original, 820 ml",,3.59,4.38,820,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F41228BB17B819013001DC2E65356D37.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
20263,5000116110889,180.0,Iglo,Crocantes de frango original,Embalagem de 180g,3.74,20.78,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4233EA8D8C7E2BCB4DD87490668F64B2.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
34404,7613034675842,198.0,Lion,Chocolate lion mini,Embalagem de 198 g,3.38,17.07,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E01713645BBE2905958004B9A9FB13F5.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
35301,8001090766885,,Evax,Pensos diários salvaslip flexi & fresh normal,28 unidades,1.49,1.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F56EC23F2B2B0CE3A138E681A8B3E99.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
3642,3059943009080,250.0,Air Wick,Ambientador recarga lavanda,Garrafa de 250 ml,3.59,14.36,250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/756F620C8BCD41CE49D260CCD66BCDF2.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
49505,8006540618578,,Dodot,Fraldas Bebé Seco Extra T3+ 7-11kg,Embalagem c/ 66 un.,13.49,13.49,0,,€/Unidade,,1000 Artigos,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BEEC46C8A19C711256F037B8E4254626.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
52079,8711327585782,330.0,Magnum,Gelado Mini Double Caramel e Gold Caramel Billionaire,Embalagem de 330 ml,3.32,10.06,330,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D564E502B2870AC727EEABF11EB02168.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
14510,5411188116592,1000.0,Alpro,Bebida Vegetal Coco,Embalagem de 1L,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1987CA16F4DDFE322033D82C2A376E65.jpg,,,2024-08-28T23:59:59.999999999+01:00,PROSPECTUS,12,4,
