identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,images_3,pictogrammes_libelleCategorie,nro_paginas,page,pictogrammes_0,images_4,images_5
1187,5601119007963,120.0,Nobre,6 Salsichas de porco,Lata de 120g,1.19,9.92,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/120DC1535B1AFA150D13CE3A5CE70137.jpg,,,,,13,1,,,
1188,5601119007970,200.0,Nobre,Salsichas de porco,Lata de 200g,1.49,7.45,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01CF2549C0E08C23060DD310D0C9B5DD.jpg,,,,,13,1,,,
1189,5601119007987,250.0,Nobre,Salsichas de porco,Lata de 250g,1.79,7.16,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/098AB25EB23B66D623E253A97FD15BDF.jpg,,,,,13,1,,,
1191,5601119009660,180.0,Nobre,Mini salsichas cocktail,lata de 180g,1.79,9.94,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/823F6F019E644C8CAAB58DB89986EEFD.jpg,,,,,13,1,,,
1196,5601119942608,200.0,Nobre,Salsichas de aves,Lata de 200 g,1.49,7.45,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E7AAE34DF3D6C2B149A624A478B3E3DF.jpg,,,,,13,1,,,
1224,5601146000104,1000.0,Sagres,Cerveja com álcool,Garrafa de 1 l,1.74,1.74,1000,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/61199517C4A36CE8AA54F4F59C81BAB3.jpg,,,,,13,1,,,
1225,5601146000319,500.0,Sagres,Cerveja com álcool,Lata de 500ml,0.79,1.58,500,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AA9837C7EA7B15D1FA47AC69F3D8222.jpg,,,,,13,1,,,
1269,5601151021750,850.0,Compal,Feijão preto 4/4,Lata de 850g,1.74,2.05,850,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/21DABA3EFA33FCE5CAC8AAB060A46375.jpg,,,,,13,1,,,
1278,5601151123249,1000.0,Bongo,Néctar de laranja,Garrafa de 1 l,1.19,1.19,1000,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECF3B33743BE09484EEE984BEF29004D.jpg,,,,,13,1,,,
1279,5601151123362,1000.0,Bongo,Néctar de 8 frutos,Garrafa de 1 l,1.19,1.19,1000,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A385521CD93D23B64326FFF286275FD6.jpg,,,,,13,1,,,
1288,5601151300756,850.0,Compal,Feijão branco,Lata de 850g,1.74,2.05,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/367FF58B393A37854E3F243B57409D70.jpg,,,,,13,1,,,
1294,5601151450758,850.0,Compal,Feijão manteiga,Lata de 850g,1.74,2.05,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FA62F2ED9DBA77E1AF2A2492B6A9743.jpg,,,,,13,1,,,
1302,5601151700754,850.0,Compal,Grão de bico,Lata de 850g,1.74,2.05,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7BEB4F1F2A34C3C3B01503DD510ABAFA.jpg,,,,,13,1,,,
1308,5601151979099,1250.0,Sumol,Refrigerante com gás de laranja,"Garrafa de 1,25 l",1.09,0.87,1250,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECE6BD1006EEE4AC73A1110926F981DC.jpg,,,,1000 Artigos,13,1,,,
1309,5601151979105,1250.0,Sumol,"Refrigerante com gás, ananás","Garrafa de 1,25 l",1.09,0.87,1250,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BEECBA2128529C8FAEEDAE9896BFB132.jpg,,,,1000 Artigos,13,1,,,
1315,5601151983508,1250.0,Seven-up,Refrigerante com Gás Lima Limão,"Garrafa de 1,25 l",1.19,0.95,1250,L,€/L,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D7ADD067C52BBE29F907539EA3813D05.jpg,,,,1000 Artigos,13,1,,,
1327,5601164115606,1000.0,Super Bock,Cerveja com álcool,Garrafa de 1 l,1.69,1.69,1000,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FC11CF1C46007F0CF2F97506679F884C.jpg,,,,,13,1,,,
1331,5601165006255,260.0,Calvé,Molho de alho,Embalagem de 260g,1.94,7.46,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/089B1CAB7287353404366CB7226AD30F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F13F0DF96776682A865C5AC21E8DB42.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F13F0DF96776682A865C5AC21E8DB42.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F13F0DF96776682A865C5AC21E8DB42.jpg,,13,1,,,
1332,5601165006279,250.0,Calvé,Molho de whisky cocktail,Garrafa de 250 ml,1.94,7.76,250,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5C7EAAE13BB0E5B1A973BA1CE41F5495.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6A3EC69CF4C27CD9078CE26776992F21.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6A3EC69CF4C27CD9078CE26776992F21.jpg,,,13,1,,,
1337,5601165100786,50.0,Calvé,Piri piri,Garrafa de 50 ml,1.68,33.6,50,L,€/L,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/008C8E9F15AC26570DA04227E6BC4B56.jpg,,,,,13,1,,,
1426,5601255312112,1000.0,Caçarola,Arroz carolino,Embalagem de 1kg,1.45,1.45,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7F690432AAD8958D114DBA6E5A052325.jpg,,,,,13,1,,,
1427,5601255322128,1000.0,Caçarola,Arroz agulha,Embalagem de 1 kg,1.28,1.28,0,kg,€/Kg,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A52540C62DF57685F2A437535D54EC25.jpg,,,,1000 Artigos,13,1,,,
1428,5601255322210,1000.0,Caçarola,Arroz basmati,Embalagem de 1 kg,2.49,2.49,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/597DB0594D385F011EF164902A284637.jpg,,,,,13,1,,,
1429,5601255323125,1000.0,Caçarola,Arroz estufado,Embalagem de 1 kg,1.25,1.25,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ED0B6D9BD767D2AF150FD69C63788B2B.jpg,,,,,13,1,,,
1462,5601286231772,250.0,Milaneza,"Massa, estrelinhas",Embalagem de 250g,0.59,2.36,0,kg,€/Kg,2024-07-10T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E2F1A211F7D24F0BF020FA7DF88C2F67.jpg,,,,,13,1,,,
