identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,images_7,images_8,avantages_dateFin,avantages_categorie,nro_paginas,page
53613,3600524076689,150.0,L'oreal Men Expert,"Deo Spray Men Expert Barber Club, emb. 150 ml",Embalagem de 150ml,2.99,19.93,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E63FBC2D352FFA69BA39409FF19EDF06.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
53614,3600524076757,50.0,L'oreal Men Expert,"Desodorizante Roll On Barber Club, emb. 50 ml",Embalagem de 50ml,2.69,53.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/708DF5D77D2903D0A99D7DC4F99D2275.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
53627,3600542510097,340.0,Garnier,Máscara Cabelo Ultra Suave Abacate,Embalagem de 340ml,4.74,13.94,340,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0DD5169F0283689CA7CAE86C1598DD36.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
53665,5052197040517,50.0,Durex,Gel Lubrificante Play Cherry,Embalagem de 50ml,7.19,143.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E21D4CE3217B04A28D6AAE60E68F6DC1.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
53757,8428076006818,100.0,Durex,Gel Lubrificante Calor + Gel Lubrificante Frescor,Embalagem de 100ml,11.49,114.9,100,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8304FB2F02106F97FA9828E5D0649991.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1992AC0F86EE328E8D9D988C111450AD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1992AC0F86EE328E8D9D988C111450AD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1992AC0F86EE328E8D9D988C111450AD.jpg,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
53803,3574661727523,200.0,Johnson's Baby,Pó Talco,Embalagem de 200g,3.19,15.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5D1139914E26A1AA44AD144448078148.jpg,,,,,,,,,2026-01-28T23:59:59Z,PROSPECTUS,14,14
54310,8015100570980,,Bref,"Bloco Wc Power Activ Lavanda, 2x50g",,2.99,2.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC60BEF514AAE81D7C23D9E9FBDF999E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B51B2A9D40E22785442CA6070217E6C3.jpg,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54351,9000101309409,,Bref,"Bloco Sanitário Wc Limão, 4un.",,5.49,5.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3632DE6DF50BA15E90E144958F14BF1.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54354,8015100568642,,Bref,"Bloco Sanitário Poder Activo Lavanda,1un.",,1.98,1.98,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EC2D87A9A71B9E2A72E65BEFB0BA2DFC.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
54359,9000101546194,,Bref,"Bloco Sanitário Poder Activo Lavanda, 3un.",,4.39,4.39,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0A4C02B814A8467119173E3ED63CC406.jpg,,,,,,,,,2026-01-21T23:59:59Z,PROSPECTUS,14,14
