identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,images_3,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4,images_5,pictogrammes_0,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
12994,2892524000000,100.0,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.09,0.89,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6427FE21A79FA79A1E8CC03E5F3B3703.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
13242,2893227000000,200.0,Peixaria,Robalo de Viveiro,de 200 a 600 g (aprox.),1.16,5.79,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48561D1FC8B0542874DDBC21F2E9ADCA.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
13894,2891044000000,1000.0,Porco,Entremeada sem Entrecosto,Vendido ao peso a partir de 1 kg,4.88,4.88,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C03EF63C56AFB4E4EA78E134436BF30C.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
13915,2891249000000,2000.0,Peru,Perna com Osso,Vendido ao peso,7.96,3.98,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D88BA2E1544364C5EB66CF19AD6E70E.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
2312,5604260271832,355.0,PorSi,Cogumelos laminados 1/2,Embalagem de 355 g,1.19,3.35,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/60708037644026A27C2FB6731A0DAB33.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
41621,5604260303625,5000.0,PorSi,Areia para gatos 100% natural,Embalagem de 5 kg,1.29,0.26,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D31760E94B21E9196509712F2DC20BF5.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
12892,2892508000000,400.0,Legumes,Beringela,1 un=400 gr (aprox.),0.8,1.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB5F3B306A4564F795D1797261204613.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
25597,5601151979303,1200.0,Bongo,Néctar 8 frutos,Pack 6 x 200 ml,2.19,1.83,1200,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8F7097498E407AAD3EBA218E9E0D2469.jpg,,,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,1.97,3.03,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/998967574B383CCF8D49F03316F06108.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
35889,5601151974070,1750.0,Seven-up,Refrigerante de lima limão - free,Garrafa de 1.75 l ,1.89,1.08,1750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72AD0374BF19555565AEB7078108FD9C.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
40464,5604260300815,120.0,PorSi,Atum posta em óleo vegetal,Embalagem de 120g,0.93,7.75,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/173B9FE9B4C2B9F9F15A0D5B1DBEDB60.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
45212,5604260313440,,PorSi,Toalhitas Bebé Basic,Embalagem de 72 unidades,0.9,0.9,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/856ACD070E028237EAE2C96F31396D77.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
49460,7613287300362,99.0,Nescafé,Café Buondi Intensidade 8,16 cápsulas,4.99,50.4,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/80D095BD8937186A634C0603F93E6D9A.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
49463,8445290250322,600.0,Nestum,Flocos Cereais Mel,Embalagem de 600g,3.79,6.32,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9F028579C623CFF4FC3FA9CCEB955938.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
973,5601024105020,1000.0,Fula,Óleo alimentar,Embalagem 1L,2.02,2.02,1000,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/82D3E88293E42CC5B178C569AA9B57E6.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
14223,5604260292721,100.0,PorSi,Tablete chocolate de leite,embalagem de 100 g,1.29,12.9,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E23ABA87C72BA66273585754CBCFF134.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
19022,5603722509742,800.0,Agros,Leite com Chocolate,Embalagem de 4 x 200 ml,1.49,1.86,800,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5E96016EA2C29977083D2986B4126E1A.jpg,,,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
41129,5604260303762,200.0,PorSi,8 salsichas aves,Embalagem de 200 g,1.09,5.45,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0DF7D5316DF865B4DCE8F58163C3E81.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
815,5000116106172,250.0,Capitão Iglo,"Douradinhos de frango, 10 unidades",Embalagem de 250g,3.49,13.96,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F63F8EDC7F7FF2702078ACE6C5ED02AC.jpg,,,,Tipo de stockagem,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
9294,5603722494215,1000.0,Mimosa,Leite Especial Crescimento 1-3 Anos,Garrafa de 1 l,1.49,1.49,1000,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E8EAAB44B3166FE020B43F64B725D8EB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B8D0BEE13E0FA7481A224732CB88CE29.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CF47B7EE63F34663DCC396F54F91507B.jpg,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
11942,5603533492202,1000.0,Frize,Água c/ gás groselha,pack 4 x 0.25 l,1.99,1.99,1000,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1BCB2445A8F41EC02B613ABED34EE191.jpg,,,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
12519,8712100417054,416.0,Hellmann's,"Maionese, frasco",Embalagem de 420g,3.14,7.55,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/252D905CA391CC38A3FB504ED230564C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6731B805B2B4B445CCCFD0D614219E37.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6731B805B2B4B445CCCFD0D614219E37.jpg,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
13966,2696019000000,450.0,Padaria,Pão Regional Rio Maior Inteiro,1 unidade= 450 g,1.09,2.42,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DCDBDD7ABCA77222995FAC9FB2CA51ED.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
18770,5449000138026,1500.0,Fanta,Refrigerante c/ gás de laranja zero,"Garrafa de 1,5 l",0.99,0.66,1500,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/42C12268B3BC23315C825D0012A62086.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
3564,2894493000000,150.0,PorSi,Fiambre da Perna Extra,1 un = 150 gr (aprox.),1.35,8.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/49AE3FB33A4713700D81E8B473AE23AB.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
36728,5604260294343,1000.0,PorSi,Arroz carolino,Embalagem de 1 kg,1.25,1.25,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/10350363E0DE37B1698299EA7835EFEE.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
405,8712566410910,280.0,Calvé,Ketchup,Embalagem de 280g,1.84,6.57,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D7E099A6ABAECF4C5D06260734A2C975.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
41298,5601050036541,440.0,Danone,"Iogurte oikos natural,  4 x 110g",,2.49,5.66,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1E39B56DE0869E56503E420B563E33DD.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
43360,5604260310357,1000.0,PorSi Viva Bem,"Iogurte grego natural magro,  1 kg",,2.29,2.29,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8F8A599D4D4FEABD382ECD297241C642.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
49359,5601146700066,6000.0,Sagres,Cerveja Mini,pack 24 x 0.25 l,11.49,1.92,6000,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6C2425FE0470CC14A198CD6F86FC4300.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2E3D57423A20C8E7B4C1173F1457C2E.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
49762,5601050037562,460.0,Danone,"Iogurte com Cereais Activia, 4 x 120g",,2.39,5.2,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/51EAF4A53D8366A31634F35574981BCB.jpg,,,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
50658,7622201724443,150.0,Philadelphia,Queijo Creme Light,Embalagem de 150g,1.79,11.93,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1F5DBEB2C0B14CA8D92B81707B49E930.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
5788,5604260033447,200.0,PorSi,Chouriço corrente,Embalagem de 200 g,1.35,6.75,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D1F24C972CEA3CB10523A1E14CFE37E.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
5818,5604260063765,1000.0,PorSi,Macedonia de legumes,Embalagem de 1 kg,1.89,1.89,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB7C912619E696B4A0C61F64E6787D35.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
6267,8016825926687,75.0,Aquafresh,Pasta dentífrica menta fresca,Embalagem de 75 ml,1.79,23.87,75,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B3DC987DC2831B4B3E07291CAE434D07.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
7126,2895005000000,100.0,PorSi,Queijo flamengo barra,"Vendido ao peso, fatiado a partir de 100 gr",0.8,7.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/16C1EB46F4F37242994168D0C6EEE2EA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/429C8DD5EB6268845AF5C452EB2A1C3C.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
8994,5601511000012,200.0,Limiano,"Queijo flamengo, fatias",Embalagem de 200g,2.19,10.95,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86AD0748081C379158BF2EE3F6F67244.jpg,,,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
974,5601024105051,3000.0,Fula,Óleo alimentar,Embalagem 3L,5.49,1.83,3000,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E8988831656F5EAF04A94786E82867B7.jpg,,,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
980,5601024134488,750.0,Oliveira da Serra,Azeite virgem extra clássico,Embalagem de 750 ml,8.19,10.92,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/01EF39EFE8396CC9ACA95DC25E9D3412.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
11961,5603722505607,1000.0,Mimosa,Leite s/ lactose meio gordo,Garrafa de 1 l,1.14,1.14,1000,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B50AD06E1D69691E134268704FD849E5.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E57BFE09E8D859BDBE1705476BB9F1B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1F70144AAFCC0EAEBFF05614177D009.jpg,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
11967,5601049612336,250.0,Mimosa,Manteiga c/ sal,Embalagem de 250g,1.99,7.96,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C41D77380AC10A8E184B8D4C3C381772.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
12943,2892087000000,1500.0,Fruta,Mamão,"1 un = 1,5 kg (aprox.)",5.54,3.69,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7BEA239E9FBE1F40B72B7D640F731AC1.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
13585,2893580000000,250.0,Marisco,Gambão Congelado 20/30,Vendido a partir de 250 (aprox.),2.15,8.59,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FBF44724042B73F1218C70BB4977864A.jpg,,,,Avantages !,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
13817,2892582000000,250.0,Legumes,Pimento Verde,1 un = 250 gr  (aprox.),0.45,1.79,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7B3A4CEB1862E90C3453A121EC9872E4.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
13956,2891205000000,50.0,Porco,Salsicha Brasileira,1 un = 50 gr (aprox.),0.25,4.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/14EAE52DCA3FF1BF75259E62B26E7BDF.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
14408,5601012004427,750.0,Trinca Bolotas,Vinho doc alentejo tinto,Garrafa de 0.75 l,4.99,6.65,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CE8D5D13DE743123565142F1E6733CF4.jpg,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
15010,2892545000000,1000.0,Programa Origens,Couve Flor,1 un = 1 kg (aprox.),1.69,1.69,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73DF9B2986748054B9303F926F23B964.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
1677,5602711001311,1000.0,Rar,Açúcar granulado embalado em papel,Embalagem de 1 kg,1.59,1.59,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F8294E745C95C50AD875621A802EA691.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
18083,5601008200017,258.0,Vieira,Bolacha digestive aveia 258g,Embalagem de 258 g,1.79,6.94,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F83AF875AA7966708505018927C302C1.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
18595,8410500016012,400.0,Danonino Danone,"Iogurte líquido danonino morango,  4 x 100 g",,1.99,4.98,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E203361E14F23CD94ABD0BD721CC32D.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
23469,8410500020453,280.0,Danonino Danone,"Danonino para levar, polpa de morango,  4 x 70 g",,2.14,7.64,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BCB8B07B4A9632B9CA3C8436CD26979D.jpg,,,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
24371,5601050033014,620.0,Danone,"Iogurte líquido pinacolada corpos danone,  4 x 155 g",,1.89,3.05,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BA062C78232ADE921CB0D8917CC39423.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
24411,8410436297752,1300.0,Sonasol,"Lava tudo rosas e jasmim, 1,3l",,2.09,1.61,1300,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46E3798C4C5509E4EFB8DA2E52D80035.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
24838,5601164903722,7500.0,Super Bock,Cerveja Mini,Pack 30 X 0.25 L,13.85,1.85,7500,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/21F823289804B326F67E5D90563F901B.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
3069,3250391563791,,Domédia,"Fita adesiva transparente com despensador, 25x19",1 unidade,1.29,1.29,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72055CC991E57DC7574D0019DAAF0A00.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
34760,7613036912709,28.0,Maggi,Suculento no forno ervas,Embalagem de 40g,0.89,31.79,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/88EF0AA003FE9AC71C19B5F2C7E3D14A.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
35138,5603722517655,960.0,Mimosa,"Iogurte sólido aroma morango, ananás e banana,  8 x 120 g",,1.89,1.97,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0001D46CAD021E71E3E28F8FD4948E5F.jpg,,,,1000 Artigos,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
40558,5604260301164,220.0,PorSi,"Queijinho morango com drageias,  2 x 110 g",,1.69,7.68,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/939055EF9B8FE9ECC8E1BC97C5579929.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
40672,5609060095992,100.0,Delta,Café solúvel intenso,Embalagem de 100g,2.99,29.9,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7A1F952E00FD0E204E53DBCD3FAC4315.jpg,,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
40769,5604260301942,300.0,PorSi,Comida húmida para cão,Embalagem de 300 g,0.75,2.5,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D90B7AD78A8FE4F93D83927A0C609BE3.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
41116,5604260304622,750.0,Selecção de Enófilos,Vinho branco regional península de Setúbal,Garrafa de 0.75 l,1.69,2.25,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/957F8F23292AA4844FB75460C8B3B2DE.jpg,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
41716,5604260303809,90.0,PorSi,Saqueta de puré de fruta | maçã + pêssego + banana + pera,90 g,0.74,8.22,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BA821088BC22D810D2198777A3EC5FCD.jpg,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,16,1,,,,,,,,,,,
