identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page
16492,8718951037847,500.0,Ajax,"Limpa vidros pistola, tripla acção, embalagem de 500 ml",,1.97,3.94,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/835152AD536CA633AE488A10E244161F.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
35499,5601151973769,3500.0,Sumol,"Refrigerante com gás de laranja, 2 x 1.75 l",,2.78,0.79,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/15C97042A71F49C362C4C213EA28900F.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
18045,8714789637389,,Colgate,"Escova de dentes max white média, 1 + 1 unidades",,2.99,2.99,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA81305E47872C0D2A8BC35B8CC9CB97.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
483,3033710046645,400.0,Nestlé,"Fruta para bebé maçã manga +6 meses, embalagem de 4 x 100g",,2.09,5.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B957252E4468B4428B54FDF0DEC950C2.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
22335,5000116110940,420.0,Capitão Iglo,"15 douradinhos, embalagem de 420g",,4.99,11.88,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3973A8C90F686ECB72E76C3B0A0492D4.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
44240,8410500010539,1200.0,Danone,"Iogurte líquido de morango kids, pack 12 x 100 g",,4.99,4.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/675F0D6784FF916C81A6BE90AA600C99.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
25539,7613035799837,3000.0,Friskies,Ração para gato esterilizado com peru,Embalagem de 3 kg,8.74,2.91,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6753096F838736845D00B1BB9E9BE49E.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
26047,8412600070994,650.0,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,2.14,3.29,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29A6957961BACB180F45AAA47CD1FB78.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
23653,5600202948299,750.0,Valleperro,Vinho doc douro tinto,Garrafa de 750 ml,2.99,3.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F5865C13DEE1923E987B86EC1D61E976.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
12994,2892524000000,100.0,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.09,0.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AEDEF3ED6ABEF24EACEE9C46AA7916F.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
12888,2892090000000,500.0,Fruta,Manga Avião,1 un=500 gr (aprox.),2.0,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3E5B8447376E0E91C2C4BB7B1444B76.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/842EA0C904154D230A3A6F63A245D264.jpg,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,3.99,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
11967,5601049612336,250.0,Mimosa,"Manteiga com sal, embalagem de 250g",,1.99,7.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2C2D066D904F137421CA4F472DC07738.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B59AE74FD0DBE6C3112F001AFF69E867.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BB9196C3025886DBB6F20EDD70A1CA7A.jpg,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
9541,5604260167012,,PorSi,"Papel higiénico branco, compacto, folha dupla, 12 rolos",Uma embalagem,4.48,4.48,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/45F75A9FD655AC752AE9A7A484B841F1.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
9725,5604260272549,500.0,PorSi,"Iogurte sabor a coco,  4 x 125 g",,0.78,1.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EAD6BF9881F57DF97B54CF550C62A561.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
13781,2892323000000,250.0,Fruta,Uva Red Globe,1 un = 250 gr  (aprox.),0.87,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CB9D5C0FE47F5D642EA2D42574AAC35.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
13954,2891192000000,500.0,Porco,Tiras da Costela/Piano,1 un = 500 gr (aprox.),3.0,5.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D0B09E93398DFB0B31D06D5AFBD6B99.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
14950,2891247000000,100.0,Peru,Peru Costeletas,1 un = 100 gr (aprox.),0.35,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B1BD8BC73E46B1A5046441E54C2F5BD.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
19022,5603722509742,800.0,Agros,"Leite com chocolate, embalagem de 4 x 200 ml",,1.79,2.24,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86A34AF1051A1750347A4FF58912A923.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
19163,5604260278121,500.0,PorSi,"Iogurte tipo grego morango,  4 x 125 g",,1.65,3.3,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C740D54E6D0772F5BD1CC74142029BCA.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
20101,5601010131231,120.0,Ramirez,"Atum em azeite, embalagem de 120g",,1.54,12.83,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E16DC667779622705519F8CE1EA40F5.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
36745,2892275000000,300.0,Fruta,Pera conference categoria: II,Vendido ao peso a partir de 300 g,0.6,1.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DF162EE44202B548D4AD8D27BD8D13AA.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
48893,5604260318735,,PorSi,Papel higiénico ultra compact 2 folhas,Embalagem de 4 unidades,2.39,2.39,4,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/64D5B92D15C4E36C20D810B890EA4FF7.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
7039,2894063000000,150.0,PorSi,Fiambre da Pá,1 un = 150 gr (aprox.),1.2,7.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B263AAD24D8655825D397EE88CE54C25.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
958,5601019012401,500.0,Guloso,Polpa de Tomate,Embalagem de 500g,1.09,2.18,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CE0E0ED1941D8AA40077B3BCCD426E3.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
12884,2892009000000,200.0,Fruta,Limão,1 un = 200 gr (aprox.),0.3,1.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5223F19D9F11D77A77B2577CB1D4D05C.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
14865,2696212000000,,Pastelaria,Folhado Misto 90 g,,0.69,0.69,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/164C27A781A7C68A965295D85BB7D95F.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
15060,2892453000000,1000.0,Programa Origens,Abóbora Butternut,1 un = 1 kg (aprox.),0.99,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B52C2C8A1B11C26BA2F358A3355C1A17.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
35824,5604260292158,,PorSi,Papel higiénico compacto 2 folhas,18 = 36 Rolos,6.79,6.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4689CBD2009C13E1DAEC5A2843608B81.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
35914,5603722509643,800.0,Mimosa,"Leite bem essencial cereais, embalagem de 4 x 200 ml",,1.69,2.11,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53D601E4EFD5900D77A7BE2A45205C39.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
36910,5604260326068,,PorSi,Fraldas agility T6 para + de 17 kg,30 unidades,5.69,5.69,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D6509B4067EF4A8937FE7D6911507B8.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
40491,5604260295753,,PorSi,"Sacos do lixo lavanda 30 litros, 20 sacos",,1.05,1.05,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DFBB530640691593E7F39F828433DED1.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
40493,5604260296125,,PorSi,"Sacos do lixo wc 5L, 30 sacos",,0.85,0.85,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/71190204B6BA7B59B49CD014C9D15AF9.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
40592,5603722519420,480.0,Mimosa,"Iogurte fruta batida banana, laranja e bolacha, 4 x 120 g",,1.69,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3DD4F4ED13036BE4F0A8D47DB404A192.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
40654,5604260295708,,PorSi,"Sacos do lixo 50 litros com fecho fácil, 10 unidades",,0.99,0.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/26D085B0AD6F18827C0DB222DE504A7D.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
41716,5604260303809,90.0,PorSi,Saqueta de puré de fruta | maçã + pêssego + banana + pera,90 g,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1CAFF4A82E080C7A12967171C7D2027F.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
41720,5604260303786,90.0,PorSi,Saqueta de puré de fruta | maçã + banana + morango,90 g,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB59B6CAE9A8CD6FFFC194AC89C34DBC.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
43977,5604260313655,300.0,PorSi,Gomas brilho,Embalagem de 300 g,1.69,5.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8560B014A5D2C7D66530D0CCCD0B2EA3.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
43980,5604260313631,300.0,PorSi,Gomas tijolos ácidos,Embalagem de 300 g,1.88,6.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53384890085EE7D4C4841349E3EC7FA2.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
50658,7622201724443,150.0,Philadelphia,Queijo creme philadelphia light 150g,,1.83,12.2,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2DD778879532B85FD01E090668131D6C.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
51113,8720181262784,500.0,Cif,"Limpa casa banho spray higiene c/ lixívia, 500 ml",,1.99,3.98,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8CA4C0BAC8A169ADEC56BAD426803345.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
8391,5601049159992,1000.0,Mimosa,"Leite especial cálcio + vitamina d magro, de 1l",,0.98,0.98,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/22E6964D6A2F2B922BCB40BB341AE902.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
929,5601001187803,625.0,Nestlé,"Cereais chocapic, 625 g",,3.49,5.58,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DB31C1F3066D48D593AE11B75516670.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
1226,5601146001507,1500.0,Joi,"Refrigerante sem gás de manga/laranja, garrafa de 1,5 l",,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB9CD865FA14B43795929B354A61BA32.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
12898,2893293000000,400.0,Programa Origens,Dourada,1 un= 400 grs (aprox.),3.6,8.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1228D1EB55215F23AB492009B28E8268.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
12943,2892087000000,1500.0,Fruta,Mamão,"1 un = 1,5 kg (aprox.)",5.84,3.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E92859558CF3617793775ADAD1A11B14.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
12996,2892526000000,250.0,Legumes,Chuchu,1 un = 250 gr  (aprox.),0.62,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B3515E273EECDE0B69B6402C7F1BEB4.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
13242,2893227000000,200.0,Peixaria,Robalo de Viveiro,de 200 a 600 g (aprox.),1.2,5.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A78EB4330416D93C926049780B1174CB.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
13821,2892597000000,200.0,Legumes,Tomate Cacho,1 un = 200 gr (aprox.),0.34,1.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FD67F77AFAB450B6A4FA38E0279E6686.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
13893,2891043000000,1000.0,Porco,Entrecosto,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA05EE99D302D59771FCC108473E0700.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
13897,2891053000000,1000.0,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.99,4.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
1414,5601252106639,750.0,Gallo,"Azeite virgem delicado, garrafa de 750 ml",,6.49,8.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA9D73D4CD22667C67FAED0003FD80DC.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
1433,5601260036102,1000.0,Cigala,"Arroz carolino, embalagem de 1 kg",,1.39,1.39,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D96A08349D04F12B168FA774344BCEF6.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
1480,5601314000073,9000.0,Vitalis,"Água mineral sem gás, pack 6 x 1.5 l",,2.59,0.29,9000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA3E69EB6FBF3CE3F3256CE592DB9A52.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
15156,2892099000000,500.0,Fruta,Papaia Avião,1 un = 500 g (aprox.),2.0,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/103067E524772C956478A94460D63E34.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
1539,5601489135150,500.0,Du Bois de la Roche,"Bolachas crackers com sal, embalagem de 500g",,2.99,5.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F0B5FA8856EDB5A939AB82442E09EFE5.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
16112,5604260276615,1500.0,PorSi,"Sumo 100%, laranja","Embalagem de 1,5 l",2.49,1.66,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F6FA9C63B0B78A535F9ACA27CDC204B3.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
17896,5601082053523,220.0,Delta,Café moagem universal portugal,Embalagem de 220g,2.89,13.14,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DECD8723F3B1FF05BE365D14A112688.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
23469,8410500020453,280.0,Danone,"Danonino para levar, polpa de morango, embalagem de 4 x 70 g",,2.14,7.64,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3E7A122EA567C89446D113FF66BFA0AE.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
2407,5608543000133,18.0,Tetley,Chá verde,Embalagem de 20g,0.94,52.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/41193B0BE32FD225777DDB9DE2467E1D.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
26061,5601082041735,220.0,Delta,Café moagem universal angola,Embalagem de 220g,3.09,14.05,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5D337D3866314BE280A581C05FCA725F.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
26373,5604260272969,500.0,PorSi,"Iogurte sabor a tutti-fruti, 4 x 125 g,",,0.74,1.48,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/13E2CC275953BD792DB7D12BAC2C481D.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
2749,8410063046532,350.0,Pescanova,"Miolo de camarão 80/100, embalagem de 350g",,6.99,19.97,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0EA75135180DC26543A97F342303334A.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
27629,5604260282845,500.0,PorSi,"Iogurte naturea natural,  4 x 125 g",,0.73,1.46,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4C81FD0AD483BCDBB41B470432B5F2B0.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
30958,5449000957955,3500.0,Coca-Cola,"Refrigerante zero, pack 2 x 1.75 l",,3.32,0.95,3500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F2EAD17F7ACB8ABDBC63DEE76B961767.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
35913,5603722498022,800.0,Mimosa,"Leite bem essencial morango , embalagem de 4 x 200 ml",,1.69,2.11,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B6AB6C5E199D6DAC849805FE4702BB4.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
36704,5604260300655,385.0,PorSi,Atum posta ao natural,Lata de 385 g,2.69,6.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E8F48924D1C68054BF8CC7FA6C97A49.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
37808,5604260301102,,PorSi,Fralda cueca T5 - 12 a 18 kg,20 unidades,4.69,4.69,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4AD0583238D4578F6A92756D29B28A77.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
40743,5604260303236,2500.0,PorSi,Batata pré-frita palitos finos,Embalagem de 2.5 kg,4.86,1.94,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8C1F058D1E72F760AB403A89545663F3.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
41719,5604260303793,90.0,PorSi,Saqueta de puré de fruta | maçã + banana,90 g,0.64,7.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2E481D69677BD2CA4465286377A9A6E3.jpg,,,2025-02-05T23:59:59.999999999Z,PROSPECTUS,13,1
43979,5604260313587,300.0,PorSi,Gomas tubarões,Embalagem de 300 g,1.89,6.3,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E41CF5FAA7809C84D2F7F60F535CC844.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
47102,5603722520198,250.0,Mimosa,"Manteiga com sal e sem lactose, embalagem de 250g",,2.29,9.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/93C16F859411D0EBAFBF43E49FD1DA1B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/03F85375587D6FDFB4925819A11BDAE0.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/851EE75BBBA7A9986AE9578DEC17E3F9.jpg,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
47636,8412600018323,300.0,Bimbo,Bimbo® bagels sementes 4 un.,Embalagem de 300g,2.34,7.8,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF6C29E8954E6CC8FE9F7A9ADC699919.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
48041,5604260323234,280.0,PorSi,8 pães de leite,Embalagem de 280 g,1.19,4.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7DB0C5DD2CD83D23CD79D8EFFE845817.jpg,,,2025-01-29T23:59:59.999999999Z,PROSPECTUS,13,1
