identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,images_0,images_1,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
21968,5601849063000,,Concentra,Mauzão,Uma unidade,31.99,31.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1AFF135ECD8850096113ADFC655FCFB1.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,15.995,2,1
21986,5600328290777,700.0,Martha's,Aguardente Vínica Velha,"Garrafa 0,70L c/ Caixa de Madeira",17.99,25.7,700,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5D2393C7A8A5FA3F1AA74EA833D1C982.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
22245,8410740050616,100.0,Lacasa,Trufas Cacau,Embalagem 200g,2.49,24.9,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D36B98BE8594B6DF3F615B10351CC6D.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
22248,8410740905817,100.0,Lacasa,Trufas Laranja,Embalagem 200g,2.49,24.9,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8EBCEA67E42AB6EB1BCC1CDC8DABB03B.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
26925,7613036912488,200.0,After Eight,Chocolate Laranja,Embalagem de 200 g,3.99,19.95,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B3B97C4360341C28A16A879C96DC1BA0.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
27104,8005125670680,,Clementoni,Sobe ou Desce?,1 un.,19.99,19.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/351FDF3ED2773398BE26E129A96B35B6.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,9.995,2,1
27498,5604575004712,1500.0,Cabriz,Vinho DOC Dão Tinto,"Caixa: 2x0,75L",8.79,5.86,1500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/04AF4D8A718C9489D58B6F0127EEBB79.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
2852,0074299018060,,Hot Wheels,Pack 5 veículos sortidos,1 embalagem,9.99,9.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E66A785086F405D44E86ECEC556B312F.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,4.995,2,1
31114,5010327000176,700.0,Glenfiddic,"Whisky malte 12 anos, garrafa de 700 ml",,44.99,64.27,700,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/113CEFACBC1A2730D18291A8140EA954.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
32656,5413202993219,200.0,Belgian,Bombons de Chocolate Praliné,Embalagem de 200G,6.99,34.95,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7093293511E2D10ABBDAD8B5113E5958.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
32854,5601849341573,,Concentra,"Jogo ""Quem Sou Eu?""",1 unidade,20.99,20.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ACE0F5BBD4195F2B9AC11ED51B241B19.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,10.495,2,1
32857,0887961684940,,Games,Agarro o Coco,,26.99,26.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A0DAA52413AA247AA99E6C1CF3F5687.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,13.495,2,1
32861,5010993514229,,Hasbro,Trivial Familia,,39.99,39.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1CCCBA09603C999334DC8CFBAA365073.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,19.995,2,1
33019,5601275013396,600.0,After Eight,Chocolate Menta,Embalagem de 3x200 g,7.98,13.3,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4D3256BF87AAEACC74E2196D229808A1.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
34283,5000267024202,700.0,Johnnie Walker,Whisky 12 anos black label,Garrafa de 700 ml,29.99,42.84,700,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E6E0EB2FDA4C05B71771A2F91EC61780.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
36849,8593893765870,158.0,Nestlé,Bombons de Chocolate Plaisir Ginja,Embalagem de 158 g,4.99,31.58,0,kg,€/Kg,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1D463D7CF8DC97A5A76E9EE538B74879.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
36868,5060116321906,700.0,Label 5,Whisky gold heritage,"Garrafa de 0,70 l",19.99,28.56,700,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6542880F05DDDFB316C9B1A6354533A8.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
37587,5608527000432,1500.0,Dona Ermelinda,Vinho Tinto Palmela,Garrafa de 1.5 l,7.69,5.13,1500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/628093ADB20A8A761F6E98C8281D74C8.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
40380,8005125216086,,Clementoni,Puzzle Spiderman,2 x 60 peças,6.99,6.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9325FB1577941D9CAFA433753544BB75.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,3.495,2,1
41166,5600261547792,,Olivo,Saco de boxe anti-stress,1 unidade,10.99,10.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/767D9F0ED716C4155E6DF9914077C149.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,5.495,2,1
41853,5601077221272,750.0,Velhotes,Vinho do Porto LBV 2016," garrafa de 0,75 l",10.99,14.65,750,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9BC842874C6AE5F28AA397AB12AFE2C7.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
42281,5601849014064,,Vtech Baby,Ursinho doces sonhos com luz e som,1 unidade,20.99,20.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3134382A66527C5899621185D989C96A.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,10.495,2,1
42307,5601849018468,,Panda,Microfone pequeno,1 unidade,15.99,15.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BA868B3CB69E98276B2EF47EB6E6BFFF.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,7.995,2,1
42482,5600314040072,1500.0,Rocim,Vinho Tinto Região do Alentejo,2 x 0.75 l,16.99,11.33,1500,L,€/L,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4287807A48E74C318EEB9F5061BA80AC.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,2,1
45532,5601849014057,,Vtech Baby,Cachorrinho musical,1 unidade,15.99,15.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2B2A11190F44C3DBA123C85AE459D999.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,7.995,2,1
45534,5601849017324,,Vtech Baby,Teclado musical,1 unidade,20.99,20.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BE2901CF088430ACDBE93EDFB7CF4DB4.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,10.495,2,1
45801,8693830035544,,4Kidoh,Pack Super Burger,1 unidade,4.99,4.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E5A6BC2801A647927EA60B12304D3CD.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,2.495,2,1
45802,8693830035551,,4Kidoh,Pack Pizza Fantástica,1 unidade,4.99,4.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/850D8C38DD287353BF7E825200FD14BB.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,2.495,2,1
45805,8693830035582,,4Kidoh,Pack A Quinta,1 unidade,4.99,4.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/10C5C2346D32C1245334B3755EDB289F.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,2.495,2,1
46084,8005125216055,,Clementoni,Puzzle Avengers,2 x 60 peças,6.99,6.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F3DBF5BDFAA0BFC49A4ADDAFF0CE3EB1.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,3.495,2,1
47154,8005125677085,,Baby Clementoni,Ted falante,1 unidade,29.99,29.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CBDF6E9FE2EF6F2DE930E9FD69CD1D03.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,14.995,2,1
47160,5601849018161,,Panda,Telefone educativo,1 unidade,15.99,15.99,0,,€/Unidade,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/947FCA87E69A8C72E26F8921EE4A63CC.jpg,,2024-12-08T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-04T00:00:00Z,99.0,7.995,2,1
