identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page,images_5,images_6
9292,5603722493812,250.0,Matinal,"Manteiga magra, embalagem de 250g",,2.49,9.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA91DFCE88DA98DA1BB05E606B3C1FF9.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
11961,5603722505607,1000.0,Mimosa,"Leite sem lactose meio gordo, de 1l",,1.29,1.29,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A98ED8A0E5E675A3AC1A551BCE75B0AB.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E57BFE09E8D859BDBE1705476BB9F1B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1F70144AAFCC0EAEBFF05614177D009.jpg,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
1326,5601164113701,500.0,Super Bock,"Cerveja com álcool, lata, garrafa de 500 ml",,0.85,1.7,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0AB2770B97F8A4B3E443129A7F4E33FA.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
17229,5602125000160,300.0,Legumes,"Cogumelo branco, embalagem de 300g",,1.49,4.97,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/66BAD1DC458E812967002A5594A14E2C.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
1819,5604260031634,150.0,PorSi,"Bolachas starship tradicional, 150g",,1.19,7.93,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CABC3D20B1CC9C514379C2FAC0BED85E.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
24838,5601164903722,7500.0,Super Bock,"Cerveja com álcool, pack 30 x 0.25 l",,13.85,1.85,7500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F70F225DD8BCAD2EFB4E63DAAFD05BBF.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
36775,5604260287383,200.0,PorSi,Leite UHT Meio Gordo,Embalagem de 200 ml,0.31,1.55,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/280FC2C095AD3476C4E3F8BDB2D85188.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
45711,5604260316441,250.0,PorSi,Gressinos finos,Embalagem de 250g,1.69,6.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48B41D29F4D14778DB7926F419FC02DD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA72DE3E3C3457F7113B05300195D76D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA72DE3E3C3457F7113B05300195D76D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA72DE3E3C3457F7113B05300195D76D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA72DE3E3C3457F7113B05300195D76D.jpg,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
10095,8435257040899,640.0,Nestlé,"Iogurte líquido yoggi morango, embalagem de 4 x 160g",,1.99,3.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BCBB1C4518CDF8045B46EB41CD173E54.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
1195,5601119230224,650.0,Nobre,"Salsichas extra suculentas, frasco de 650 g",,2.09,3.22,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F74C2FC7C8B9C0B3ED0E43FFE3B59991.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
15767,2892306000000,150.0,Fruta,Pêssego Vermelho Paraguaio,1 un = 150 gr (aprox.),0.45,2.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E985AD8FF876DA419791D2BAC514FA7F.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
20434,5601244500063,1000.0,Terra Nostra,"Leite de pastagem meio gordo, embalagem de 1litro",,0.91,0.91,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2F15C65373BE6E3E66B7AB63273FD2E6.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E82125FE177156A16B33D08208F11D7F.jpg,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
29248,5000204802689,400.0,Raid,Insecticida Casa e Plantas,400 ml,4.79,11.98,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D9BDB5EC6E253EBB459466D1BE77CC12.jpg,,,,,2025-08-06T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
34819,5604260287086,200.0,PorSi,Pistachios com sal,Embalagem de 200g,3.79,18.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CE106296003E8E1ADB82DF0A039F9E5.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
40578,5604260299997,1000.0,PorSi,"Camarão cozido 50/70, 1 kg",,9.99,9.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F77F2719F75EC4D041ACF0F09BF45879.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
42033,5604260302949,400.0,PorSi,Comida húmida para gato carnes e legumes com molho,Embalagem de 4 x 100 g,1.79,4.48,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1477336C06998BA798DC88B8101DB0F.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
44324,2892266000000,150.0,Fruta,Nectarina,1 un = 150 gr (aprox.),0.45,2.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/16DB971D495A2E1F69D261C5E2C64256.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
47648,5601119355378,120.0,Nobre,"Fiambre perna extra braseado finissimas, embalagem de 120g",,1.89,15.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A268D38DBDCD3538A067D252174C096B.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
49215,5604260322800,,PorSi,Detergente líquido máquina roupa sabão natural,40 doses,3.3,3.3,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1050941D8226F2FD6BB56637BBE1285A.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
5119,5601066200073,1000.0,Nacional,Farinha p/ bolos extra fina,Embalagem de 1 kg,1.04,1.04,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CAC064713C07BACF659239959FBD0E0D.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
52601,5601217137944,1710.0,Quanto,"Amaciador roupa concentrado rubi e jasmim, 95 doses",,3.99,2.33,1710,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F98E5B67EBAD53610C2B7527547160F8.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
929,5601001187803,625.0,Nestlé,"Cereais chocapic, 625 g",,3.74,5.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DB31C1F3066D48D593AE11B75516670.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
9315,5603722509544,1000.0,Mimosa,"Leite 0% lactose magro, de 1l",,1.29,1.29,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0350D0DE44A653A9AB01722B06443E94.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC5219EC1E15E09529E323B7D196FADA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC48BFFA4281D8016E9FB40168ED4485.jpg,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
10094,8435257040776,640.0,Nestlé,"Iogurte líquido yoggi banana, embalagem de 4 x 160 g",,1.99,3.11,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6885FCEF2FEF4752D565E64A3BDEE242.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
11464,5601018003400,1000.0,Matinal,"Leite seleccionado meio gordo, de 1l",,1.0,1.0,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5F34056BF2D07C9D39E218B31081D1FC.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
11492,5601045001547,500.0,Sumol,"Refrigerante com gás ananás, garrafa de 500 ml",,0.79,1.58,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/901F921DF02579DAE62D268866D755CF.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
12066,5604260194063,1000.0,PorSi Viva Bem,Bebida de soja com cálcio,Embalagem de 1 litro,0.79,0.79,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/16537218BB43EA3E7F5AFCEAEC229452.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
1226,5601146001507,1500.0,Joi,"Refrigerante sem gás de manga/laranja, garrafa de 1,5 l",,1.29,0.86,1500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DB9CD865FA14B43795929B354A61BA32.jpg,,,,,2025-06-25T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
12519,8712100417054,416.0,HellmannS,"Maionese, frasco, embalagem de 420g",,2.99,7.19,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6AB870EF622544FC82599432CC32DE9B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6731B805B2B4B445CCCFD0D614219E37.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6731B805B2B4B445CCCFD0D614219E37.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6731B805B2B4B445CCCFD0D614219E37.jpg,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
12943,2892087000000,1500.0,Fruta,Mamão,"1 un = 1,5 kg (aprox.)",5.84,3.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E92859558CF3617793775ADAD1A11B14.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13537,2893529000000,250.0,Peixaria,Sardinha Congelada,1 un = 250 gr  (aprox.),0.72,2.89,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/20CBBBB0702ADDE0888E404D1EC78925.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13625,2893620000000,300.0,Peixaria,Salmão de viveiro à posta,1 un. = 300 g (aprox.),3.6,11.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A170DAF9DE78983CFA7E8DD1EFE6A371.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
13839,2891006000000,800.0,Novilho,Bife da Pá,Vendido ao peso a partir de 800 g,9.51,11.89,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5626B1315F40E59D057B37FBCA18064B.jpg,,,,,2025-06-18T23:59:59.999999999+01:00,PROSPECTUS,13,1,,
