identifier,idProduit,itemId,produitEan13,pviIncrement,capacite,qteMaxPanier,marque,libelle,conditionnement,prix,unitPrice,prixKg,prixBarre,vignetteCollector,pictogrammes,poidsMinimum,poidsNet,poidsUnite,volume,isTrad,isPresentAlcoholProduct,avantages,origine,categorie,nbPiece,typeProduit_code,typeProduit_value,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_idCategorie,pictogrammes_idPicto,pictogrammes_image,pictogrammes_infoBulle,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,page,nro_paginas,images_3
2406,5608543000102,2406,5608543000102,1,30.0,99,Tetley,Chá preto,Embalagem de 30g,1.29,43.0,43.0,0.0,0,[],30,30,0,0,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2CA31FF335EAFD397F63994E5AF9EBC.jpg,,,1,11,
25597,5601151979303,25597,5601151979303,1,1200.0,99,Bongo,Néctar 8 frutos,Pack 6 x 200 ml,2.19,1.83,1.83,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",0,0,0,1200,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8F7097498E407AAD3EBA218E9E0D2469.jpg,,,1,11,
31551,8414100333241,31551,8414100333241,1,250.0,99,Schweppes,Schweppes tónica zero,Garrafa de 250 ml,0.71,2.84,2.84,0.0,0,[],0,0,0,250,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7D3CDC1738B0F685E19A0F0C867F8751.jpg,,,1,11,
35138,5603722517655,35138,5603722517655,1,960.0,99,Mimosa,"Iogurte sólido aroma morango, ananás e banana,  8 x 120 g",,1.59,1.66,1.66,0.0,0,[],960,960,0,0,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0001D46CAD021E71E3E28F8FD4948E5F.jpg,,,1,11,
35983,5601027972735,35983,5601027972735,1,700.0,99,Bimbo,Pão de forma torradas familiares,Embalagem de 700 g,1.85,2.64,2.64,0.0,0,[],700,700,0,0,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/235876653DE3C23FDDF51ADFA446C532.jpg,,,1,11,
36974,5601164204232,36974,5601164204232,1,1980.0,99,Super Bock,Cerveja 0.0%,Pack de 6 x 0.33 l,4.49,2.27,2.27,0.0,0,[],0,0,0,1980,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F5F6B7C884E8CF9684381A610A8163D.jpg,,,1,11,
37992,5601027943551,37992,5601027943551,1,650.0,99,Bimbo,"Pão de forma sem côdea 10 cereais, embalagem 650 g",,2.09,3.22,3.22,0.0,0,[],650,650,0,0,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E65A0CCDAE1A5FCAC2C1D9A9BA0AFBC6.jpg,,,1,11,
38417,5411188124689,38417,5411188124689,1,1000.0,99,Alpro,Bebida Vegetal Aveia Sem Açúcar,Embalagem de 1 l,1.99,1.99,1.99,0.0,0,[],0,0,0,1000,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E2516ED123622B6963D422374872107.jpg,,,1,11,
41115,8712000310011,41115,8712000310011,1,330.0,99,Heineken,Cerveja Sem Álcool 0.0%,Lata de 0.33 l,0.99,3.0,3.0,0.0,0,[],0,0,0,330,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0249A72574522BBF39048E84E1CD01C2.jpg,,,1,11,
419,8718114882536,419,8718114882536,1,50.0,99,Knorr,Sopa de cebola,Embalagem de 50g,1.6,32.0,32.0,0.0,0,[],50,50,0,0,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ED2CDBB9018393062912BF3E0AF214D1.jpg,,,1,11,
44790,5603722514814,44790,5603722514814,1,480.0,99,Mimosa,"Iogurte natural magro sem lactose, 4x 120 g",,1.99,4.15,4.15,0.0,0,[],480,480,0,0,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/16144931BFE13ADD55AEAFA1C9C1D4A3.jpg,,,1,11,
44804,3023290048924,44804,3023290048924,1,150.0,99,Lindahls,"Pudim Proteico chocolate,  150g",,1.49,9.93,9.93,0.0,0,[],150,150,0,0,False,False,"[{'dateFin': '2024-06-19T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-19T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B2FE0FACFAE4AC76078601AFA61FB63.jpg,,,1,11,
