identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,nro_paginas,page
44234,8710522854815,257.0,Calvé,Mostarda,Embalagem de 257g,1.68,6.54,0,kg,€/Kg,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7979D994594677C477DA08ADD5A2E9CB.jpg,,,17,2
44936,8711327318373,540.0,Olá,Cornetto clássico,Embalagem de 6 x 90 ml,3.56,6.59,540,L,€/L,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8D9DC9138E665052BD487BD925ECAB26.jpg,,,17,2
4549,4005808801039,75.0,Nivea,"Creme mãos, caixa média",Embalagem de 75 ml,1.99,26.53,75,L,€/L,,,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/575504BEFAFD8B7935E5486AE0175773.jpg,,,17,2
49084,5604260323562,300.0,PorSi,8 rissóis de carne,Embalagem de 300g,1.28,4.27,0,kg,€/Kg,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/217225786E9180EDB8CCAEEA81B08902.jpg,,,17,2
49093,5601082049656,440.0,Delta Q,Cápsulas de Café Grand Qalidus,Embalagem com 80 cápsulas,23.99,54.52,0,kg,€/Kg,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DEE7FD145D59AAEDF41BEFA511386BD.jpg,,,17,2
49221,5604260322602,90.0,PorSi,Saqueta puré de fruta,Embalagem de 90g,0.74,8.22,0,kg,€/Kg,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9893E2C7164F12F4E4974DE54879A4ED.jpg,,,17,2
49480,5601151969458,1750.0,Sumol,Refrigerante com Gás Ananás Sem Açúcar,Garrafa de 1.75 l,1.39,0.79,1750,L,€/L,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4A159117E2730F166C16E5A6DF517C87.jpg,,,17,2
51539,8410436441971,1250.0,Sonasol,Lava Tudo Amoniacal,1.25 litros,2.09,1.67,1250,L,€/L,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/966C0647302090E003E4103374439B62.jpg,,,17,2
51608,8006540830918,820.0,Fairy,Detergente Líquido p/ Lavar Loiça Limão,Embalagem de 820 ml,3.99,4.87,820,L,€/L,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EDD75E1F920483183B5B596FDD6DA991.jpg,,,17,2
51947,8719200253087,200.0,Planta,"Planteiga com Sal Vegan, 200g",,1.49,7.45,0,kg,€/Kg,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1C8192B5C8DA466AD648BB6546E3F415.jpg,,,17,2
52013,5601146100026,1000.0,Sagres,Cerveja com Álcool preta,Garrafa de 1 l,1.74,1.74,1000,L,€/L,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8EDCC3FD0D7835AFB60E55A1E05FEB5F.jpg,,,17,2
52313,0000059095569,50.0,Rexona men,Desodorizante Roll On Men Quantum Dry 72H,Embalagem de 50ml,2.99,59.8,50,L,€/L,,,2024-07-24T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/24E5D7AC59EEA01928B1A62F737CFF07.jpg,,,17,2
53262,8711327597761,360.0,Cornetto,"Gelado Filipinos, 4 x 90ml",,3.89,10.81,360,L,€/L,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B06A234868C6C8C0E9F6DD974D43ACB2.jpg,,,17,2
53578,8435495836452,,A+,"Detergente Máquina Roupa Cápsulas Optimal, 38 unidades",,8.99,8.99,38,,€/Unidade,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A152C9C75F49F8FB49CA4BA0395A8F08.jpg,,,17,2
5818,5604260063765,1000.0,PorSi,Macedonia de legumes,Embalagem de 1 kg,1.89,1.89,0,kg,€/Kg,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB7C912619E696B4A0C61F64E6787D35.jpg,,,17,2
5901,5604260247523,2000.0,PorSi,Gelado de morango,Embalagem de 2 l,2.99,1.5,2000,L,€/L,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D82528BBD4537BCDAF3E65EDA0ADB1B7.jpg,,,17,2
6819,8712566125982,420.0,Olá,Gelado perna de pau,Embalagem de 6 x 70 ml,3.09,7.36,420,L,€/L,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF8A8D36D858A4A7866707A764C6448A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CDF3DFE8D09454EBB2363B5EF224B65F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CDF3DFE8D09454EBB2363B5EF224B65F.jpg,17,2
7050,2894090000000,150.0,Campofrio,Peito frango forno de lenha,1 un = 150 gr (aprox.),2.32,15.49,0,,€/Kg,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6772968344189119743079B1997DCA88.jpg,,,17,2
