identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,pictogrammes_0,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise
2968,3250391024643,,Domédia,Marcadores para colorir,embalagem com 18 unidades,2.99,2.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7317F1828FE8FE29F2FFF12F5884FC5A.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
2984,3250391323678,,Domédia,"Roller azul, ponta media, pack de 2 unidades",1 embalagem,1.49,1.49,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/43F2D2081597B640D6BE6E7C836857F0.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
2985,3250391323692,,Domédia,"Roller preto, ponta media, pack de 2 unidades",Uma embalagem,1.49,1.49,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0148A14BBF09CCCA2D9B44BFED794219.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
29940,4005900388933,50.0,Nivea,Deo Roll On Protect & Care,50 ml,2.69,53.8,50,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/83A36E9FDF77CBA4ABB4A9BCE19F97A9.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
3045,3250391445851,,Domédia,Caixa com 12 aguarelas + pincel,1 unidade,2.45,2.45,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/28CB9BEAD12D322E2B71927C4D5E3E8C.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
30508,3600542126441,50.0,Ambre Solaire,Leite Protector Solar FPS 30 Manteiga de Karité |Corpo,Embalagem 50 ml,4.49,89.8,50,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0DBA1B78500B94393B59142F1654915.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
30509,3600542126458,50.0,Ambre Solaire,Leite Protector FPS 50+ Manteiga de Karité |Corpo,50 ml,4.79,95.8,50,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2214CBF0BAD76065EA4B249628099503.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
30529,5000299605950,700.0,Beefeater,Beefeater «pink»  70cl,Garrafa de 700 ml,17.89,25.56,700,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A72F0C236A65DAD9C4F7F18E818AECE1.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
3066,3250391562947,,Domédia,Lapiseira minas 0. 5mm,1 unidade,1.49,1.49,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AFFCBD208EDC39EA7FF1C2DD3CBFC512.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
30846,5601385505392,,Sensodyne,Escovilhão Interdental,,3.95,3.95,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AB61F55FAE6478FD4113EDC799E2CD46.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
30897,5413149232754,,Swiffer,"Recarga Panos para Madeira, 18 unidades",,3.59,3.59,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F1E146A3DAED632CD5DB3FBF01121F93.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
30922,5609104220199,,Mab,Separadores A4 6 Pestanas,1 un.,0.58,0.58,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E8990419FB010F2D3B42BA808B9F95A4.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
3102,3270220000167,,Conte evol,"Lápis grafite evolution hb, 4 unidades",Uma embalagem,1.29,1.29,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/901B4987FBC0E0033F2AFA8815993FCE.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
31194,5600826203064,1000.0,Prozis,"Manteiga de amendoim 1000 g cremoso, 1 kg",,6.89,6.89,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4264486B74A43BA7CE52AD0CAABAE8EB.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
3154,4007817120316,,Staedtler,Bl lápis noris (3x hb),1 unidade,2.19,2.19,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7823A0280FEDAF54EA10164C0F66D956.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
31663,4007817018132,,Staedtler,Lápis de Cor Sortidos,10 un. + 2 Grátis,2.59,2.59,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D1C97EE7504688986F2AB4E0ACA64EDD.jpg,,,,2024-09-18T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
32304,4005900386564,50.0,Nivea,Desodorizante Roll On Black & White Active,50 ml,2.79,55.8,50,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A36F4383E6851A705012A66F256273F4.jpg,,,,2024-09-04T23:59:59.999999999+01:00,PROSPECTUS,12,8,,,,,,,,,,
