identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,images_3,pictogrammes_libelleCategorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,avantages_dateFin,avantages_categorie,pictogrammes_0
1292,5601151354452,1000.0,Compal,"Néctar vital equilibrio manga e laranja, 1 l",,1.19,1.19,1000,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/30D2BA582C7246DE27BB90D053759BF5.jpg,,,,1000 Artigos,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
13242,2893227000000,200.0,Peixaria,Robalo de Viveiro,de 200 a 600 g (aprox.),1.16,5.79,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48561D1FC8B0542874DDBC21F2E9ADCA.jpg,,,,,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
13566,2893560000000,250.0,Congelado de Aquicultura,Camarão Congelado 20/30,1 un = 250 gr  (aprox.),2.25,8.99,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/863DB9F10BE616A55736AB7A17BC6BB5.jpg,,,,Avantages !,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
13585,2893580000000,250.0,Marisco,Gambão Congelado 20/30,Vendido a partir de 250 (aprox.),2.2,8.79,0,,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FBF44724042B73F1218C70BB4977864A.jpg,,,,Avantages !,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
14372,8712100599392,550.0,Calvé,Ketchup XXL,Embalagem de 550g,2.99,5.44,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4544D7A761DF83B5B8BF2C6EF0FF53D9.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,,,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
14711,5601286402332,180.0,Nacional,Bolacha alfa,Embalagem de 180g,1.07,5.94,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5276D08644D4F57D25BB338DF64F883B.jpg,,,,,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
15504,5601050031669,480.0,Danone,"Iogurte activia cremoso frutos silvestres,  4 x 120 g",,1.99,4.15,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/709B548D37F71DDA459131D3F3B36E78.jpg,,,,1000 Artigos,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
16693,5601066400916,120.0,Nacional,Bolacha chocomax mini,Embalagem de 120 g,1.04,8.67,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/369CF09991D63A6D8505CD9C805BD57F.jpg,,,,,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
18024,2696283000000,250.0,Pastelaria,"Baguete Constance Cereais, 250 g",,0.99,3.96,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/685E2D57DF9ABD650B27DD54077FB84E.jpg,,,,,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
19539,7613035610156,250.0,Sical,Café 5 estrelas moído tradição,Embalagem de 250g,2.79,11.16,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/05F298B6158A264F26FCA1105F30811A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2888C77DDA1DB5E5E1FA7EF4EE8D9964.jpg,,,,,,,2024-08-21T23:59:59.999999999+01:00,PROSPECTUS,,,,8,1,,,
