identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,pictogrammes_0,images_3,images_4,images_5
4196,3574660464429,,Carefree,"Pensos diários respirare, 76 unidades",Uma embalagem,3.74,3.74,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F1443756E2E93D0DFBDE85A3A5997C3A.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
42084,5601082045160,55.0,Delta Q,Café Qharacter XXL,Embalagem com 60 cápsulas,20.99,381.64,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/853D58184E9753F7F325FC07D8B7016C.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
44647,8720181102493,,Skip,Detergente para a Maquina da Roupa Active Clean,Embalagem de 54 unidades,13.99,13.99,54,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/252C50E9AEEAC9B421D7BEF241F29B0F.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
44664,8711327488052,1000.0,Lipton,Ice Tea limão zero açúcar,Garrafa de 1 l,1.39,1.39,1000,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/52579188A3342679BB6CE44E5B5F381A.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
4484,4002448003533,,Calgon,Anti-calcário para máquina de roupa,Embalagem de 15 pastilhas,6.99,6.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1547C9E7DE90C6A0D94D17E806301F7A.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
45763,5604260316922,330.0,PorSi,Ice tea de limão,Lata de 330 ml,0.49,1.48,330,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/82D8A5DCC065C19FC431861972525375.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
48766,8722700231998,525.0,Olá,Gelado Calippo Cola,5 x 105 ml,3.24,6.17,525,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7475F9B00EF5AC1331F876F0CEBCF4BC.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
48922,8006540417072,300.0,Pantene,Máscara Caracóis Perfeitos,300 ml,4.94,16.47,300,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB7E52D162BFDEBC6AEA41630D49AB71.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
49259,5054563119933,75.0,Aquafresh,Dentífrico herbal naturals,75 ml,1.85,24.67,75,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC36897E4C7BC17809701C693CA58165.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
50277,8410436429443,,Persil,Detergente máquina roupa 4 em 1,40 cápsulas,9.99,9.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5E047E9BAF43F15ECC8BBAF280F71764.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
50498,5775345202918,700.0,Sunquick,Concentrado Laranja e Manga,Garrafa de 700 ml,5.19,7.41,700,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2A5487A92FEBBD8C4A9D852619EA55EB.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
50512,8410500028206,160.0,Yopro,"Yopro morango,  160g",,0.98,6.13,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D925B59D7A508F0A005BF08DFAE0B307.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
50624,5603722520969,200.0,Mimosa,"Nata Culinária Sem Lactose, 200 ml",,0.99,4.95,200,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/050D19427AA010B013CA63696314E26F.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
51047,8410436430364,,Persil,Detergente máquina roupa 4 em 1 lavanda,40 cápsulas,9.99,9.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A5FA7D78F48BA80F07906761E5B479A5.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
5134,5601077101048,750.0,Velhotes,vinho do Porto Ruby," garrafa de 0,75 l",5.49,7.32,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3489DFB48D7AB1C8D2C104875A79BE65.jpg,,,1000 Artigos,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
51515,8410436441940,1710.0,Vernel,Amaciador Roupa Concentrado Maldivas,95 Doses,4.49,2.63,1710,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/74D405E8BCDAE971AE116F6039A2037A.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
51560,5601174792002,750.0,João Pires,Vinho Rosé Península de Setúbal,Garrafa de 0.75 l,3.49,4.65,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5C884C754161C78D04BEEB9A8611ACBF.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
52335,8720181392979,,Comfort,Amaciador Roupa Concentrado Creations Angélicas e Flor de Baunilha,76 Doses,3.99,3.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/88E220DCA59FCA8026855622E667F899.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
52598,5601217137975,1710.0,Quanto,"Amaciador Roupa Concentrado Frutos Silvestres, 95 doses",,3.99,2.33,1710,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/425B618E435B239C500E88642C038EB6.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
52601,5601217137944,1710.0,Quanto,"Amaciador Roupa Concentrado Rubi e Jasmim, 95 doses",,3.99,2.33,1710,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EFA6AAA584BAA33F31E0C73AACE65A5B.jpg,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
52804,5603722523014,200.0,Mimosa,"Creme Vegetal Leite Coco, 200 ml",,1.29,6.45,200,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/015C744C98820B7831E32EFBFFA827A7.jpg,,,Produtos Bio,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
52806,8711327608153,400.0,Magnum,"Gelado Chocolate Branco com Morango, 400 ml",,5.49,13.73,400,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F7B277BE11B4B3700DC9F79E39DD9E85.jpg,,,Tipo de stockagem,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
5297,5601174205403,750.0,Periquita,Vinho rosé península de setúbal,Garrafa de 0.75 l,3.69,4.92,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/57F4393591F8197D030DC0272B1C8CF5.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
53024,8720182589569,280.0,Calvé,"Molho Agridoce, 280g",,1.94,6.93,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7ADC1EF520237C467C08598D71586602.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
53281,5053990162734,175.0,Pringles,"Aperitivos de Paprika, 175g",,2.39,13.66,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C0057FF36BD4F63586C66EB26D1B7D1F.jpg,,,,2024-09-25T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
5373,5601239001445,750.0,Bucellas,Vinho Branco DOC Caves Velhas,Garrafa de 0.75 l,4.49,5.99,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B6D4F87175995A6D7729766483BC7700.jpg,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,,,
