identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_4,avantages_dateFin,avantages_categorie
53355,3600542509695,340.0,Garnier,"Máscara Ultra Suave Delicadeza de Aveia, 340ml",,4.74,13.94,340,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/606A86081CEC3538EAC6D2CD2EAEEA71.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A269BD8C14578D6361463A4715249E85.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A269BD8C14578D6361463A4715249E85.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A269BD8C14578D6361463A4715249E85.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53356,3600542510004,340.0,Garnier,"Máscara Ultra Suave Leite Amêndoa Bio, 340ml",,4.74,13.94,340,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/02DD956DED73D5CB74A3F3A69B3A4D54.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/93971F3465DB2BDECF0CCD923B686D75.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/93971F3465DB2BDECF0CCD923B686D75.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53357,3600542509169,340.0,Garnier,"Máscara Ultra Suave Riqueza D'argao, 340ml",,4.74,13.94,340,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/499DF4E71BDAE94C5951745B42AB8499.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/667834B9D1BBD3B3254B4987858662B3.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/667834B9D1BBD3B3254B4987858662B3.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/667834B9D1BBD3B3254B4987858662B3.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53377,5601028032773,,Renova,Rolo de Cozinha Gigaroll Max Absorption White,,2.99,2.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3F5619B593EDF25A162AA6609569242A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2B9F34FEAAADDC97C1AE946949C8BB77.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2B9F34FEAAADDC97C1AE946949C8BB77.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53558,8006540740521,,Gillette,"Lâminas de Barbear Descartáveis Sensor 3 Comfort Sensitive, 8 unidades",,7.79,7.79,8,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/62EFC41163817D4B4832712080140808.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53625,3600542509268,340.0,Garnier,Máscara Cabelo Ultra Suave Leite de Coco,Embalagem de 340ml,4.74,13.94,340,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5B1F15D10D91FA0A5945BF4DCAB9D0C9.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53626,3600542509596,340.0,Garnier,Máscara Cabelo Ultra Suave Gama Maravilhosa,Embalagem de 340ml,4.74,13.94,340,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A2A1CFA5E77CBE04FF25DF4E2615ECC1.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
5372,5601237011224,750.0,Quinta da Bacalhôa,"Vinho regional península de setúbal tinto, garrafa de 0.75 l",,14.99,19.99,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6EE1956995F7F3A46C642D4F921DDCA8.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
53787,0000059095545,50.0,Rexona,Desodorizante Roll On Cotton 72H,Embalagem de 50ml,2.69,53.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/33AF864262DEB514862A79D346F71264.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/254DD03103100C86C430B0AB4BE49F46.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/254DD03103100C86C430B0AB4BE49F46.jpg,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54214,5010996201423,,Play-Doh,Kit Plasticina Iniciantes Avião Explorador,,12.99,12.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/76CB9383FE4D006C7D38A79C67C0F715.jpg,,,,2024-12-20T23:59:59.999999999Z,AC,50.0,PCT,STANDARD,2024-12-19T00:00:00Z,99.0,6.495,11,10,,,
54232,5601217137449,,Air Wick,"Ambientador automático delicias de verão, 250ml",,7.19,7.19,1,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/76741204EB9999469AAF3BFAD9F9498F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D0D0827BE4393B3FFCF8A70FBE857DD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D0D0827BE4393B3FFCF8A70FBE857DD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D0D0827BE4393B3FFCF8A70FBE857DD.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54233,8410104913786,224.0,Air Wick,"Ambientador recarga difusor active fresh jasmim, 224 ml",,5.99,26.74,224,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D400A33808567EF65243C468780B5F6D.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D04B4805DBD623AE585D9180C97D454.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D04B4805DBD623AE585D9180C97D454.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D04B4805DBD623AE585D9180C97D454.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54234,8410104882679,38.0,Air Wick,"Ambientador Eléctrico Delícias de Verão Recarga, 2x19ml",,5.19,136.58,38,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B556ED2219FA1FF0B6987F8333E98AD5.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8DDA33289997E47DBFE45FC9DFA0415.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8DDA33289997E47DBFE45FC9DFA0415.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8DDA33289997E47DBFE45FC9DFA0415.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8DDA33289997E47DBFE45FC9DFA0415.jpg,,
54235,8410104253974,250.0,Air Wick,"Ambientador Elétrico Delícias de Verão Recarga, 250ml",,5.19,20.76,250,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3BD87253A5AB566BA279DA73934F7ECA.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54236,5601217138699,228.0,Air Wick,"Ambientador Active Fresh Comp Lavanda e Liro, 228ml",,7.99,35.04,228,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/53362394D4946B9BE93FFB7E8CF649BB.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54243,8718951649071,75.0,Colgate,"Colgate Dentífrico Total Plaque Branqueador, 75 ml",,3.74,49.87,75,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CD75CBAA5BEAF73E2F8E92DD5EA88FD0.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54244,8718951611528,50.0,Colgate,"Pasta de Dentes Criança 0 a 5 Anos, 50ml",,1.94,38.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/10AE10B5777CA71F69E960B360440AB4.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D61030DA68A1574C75445A611ED36E39.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D61030DA68A1574C75445A611ED36E39.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D61030DA68A1574C75445A611ED36E39.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54278,3600542572149,400.0,Garnier,"Amaciador Ultra Suave Água de Arroz, 400ml",,3.79,9.48,400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A86CED3E0B61626CE5D60EEC23668E3A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/32BA9B6F3920F2215322EF0E0FE99C85.jpg,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54308,5601217137999,,Air Wick,"Recarga Duo Lavanda Camomila, 2un.",,5.19,5.19,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/78C110CAA5EF024A4EA96E5945825BCD.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DCF3D5D0D3FA3177E549BA42D5B2070C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DCF3D5D0D3FA3177E549BA42D5B2070C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DCF3D5D0D3FA3177E549BA42D5B2070C.jpg,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54378,8720181462498,,Skip,"Detergente máquina roupa cápsulas ultimate active clean, 60d",,14.99,14.99,60,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DC9F6855F0C3FEA66E07C050FB4866BA.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54416,0000059095675,50.0,Rexona,"Desodorizante shower fresh roll-on, 50ml",,2.54,50.8,50,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D02CF230F6246FD1D84531DC6F62428F.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
54417,8712561180795,150.0,Rexona,"Desodorizante spray shower fresh 48h, 150ml",,2.69,17.93,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4236F8F5D0507AA106DE2D0952AE73EC.jpg,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,,,,,,,11,10,,,
