identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3,images_4,images_5
5119,5601066200073,1000.0,Nacional,Farinha p/ bolos extra fina,Embalagem de 1 kg,1.09,1.09,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0B9B49E51908C76AC70076ED3709B8D2.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
21019,2892020000000,100.0,Legumes,Cogumelo portobello grande,vendido ao peso,0.55,5.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3D5D6393BB9ED3E6D377DF71608F2AA1.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
21051,8435257034300,640.0,Nestlé,"Iogurte líquido yoggi, sem lactose, morango,  4 x 160 g",,2.19,3.42,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EDE6B117FB886E95B7257B2282F005D2.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
13529,2893521000000,1000.0,Peixaria,Pescada do Chile Congelada Nº3,1 un= 1 kg (aprox.),7.99,7.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/40D57D35BBDBDF72027C959F41A6E90C.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
17667,2894441000000,100.0,Salsicharia Limiana,Chourição,1 un = 100 gr (aprox.),0.8,7.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CBAE8286CA636C8895C6C56B7142118.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
24413,8410436297783,1300.0,Sonasol,"Lava tudo PH neutro, embalagem de 1,3l",,2.09,1.61,1300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F7DD11C0EABB6452E24AA720E593B0B5.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
37992,5601027943551,650.0,Bimbo,"Pão de forma sem côdea 10 cereais, embalagem 650 g",,2.29,3.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E65A0CCDAE1A5FCAC2C1D9A9BA0AFBC6.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
41384,5601050036602,440.0,Danone,"Iogurte grego oikos stracciatella,  4 x 110 g",,1.99,4.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0A6F59B7D5832D67ED1CDB718D78849.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
419,8718114882536,50.0,Knorr,Sopa de cebola,Embalagem de 50g,1.69,33.8,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ED2CDBB9018393062912BF3E0AF214D1.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
17900,8001480023277,700.0,Neoblanc,"Lixívia Spray Mousse Flor, 700ml",,2.59,3.7,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FA98D871A88B2DCD779EA51368257E43.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
24412,8410436297660,1300.0,Sonasol,"Lava tudo aloe vera e flores brancas, 1,3l",,2.09,1.61,1300,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/99177C313800E1C306087975E7A5D1E7.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
41118,5604260301935,100.0,PorSi,Comida húmida para gato truta e espinafres,Embalagem de 100 g,0.39,3.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CA40CFAB4BDD4A7F8FCD1943C6843AE7.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
50405,8445290489173,900.0,Cerelac,Papa Infantil + 6 meses,Embalagem de 900g,6.29,6.99,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AC49BEE482A5844CB7C28462BEA4C70C.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
12230,7613034192264,250.0,Cerelac,Papa infantil para preparar com leite +6 meses,Embalagem de 250g,1.84,7.36,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9FAA017CC3BC08A98F0EF54D61B67C5D.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
25735,5000116112173,208.0,Capitão Iglo,10 nuggets peito de frango e queijo,Embalagem de 210g,2.99,14.38,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E9A162F74796CC7150848F5AAF7336C9.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
5093,5601050033755,620.0,Danone,"Iogurte activia líquido 0% morango/kiwi,  4 x 155 g",,1.99,3.21,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29B41AE598716D0550D815AA0FE86025.jpg,,,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
6819,8712566125982,420.0,Olá,Gelado perna de pau,Embalagem de 6 x 70 ml,3.09,7.36,420,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF8A8D36D858A4A7866707A764C6448A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CDF3DFE8D09454EBB2363B5EF224B65F.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CDF3DFE8D09454EBB2363B5EF224B65F.jpg,2024-11-06T23:59:59.999999999Z,PROSPECTUS,11,3,,,
