identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,nro_paginas,page,images_3,images_4,images_5
15067,2892316000000,250.0,Fruta,Uva Preta,Vendido a partir de 250 gr,0.75,2.99,0,,€/Kg,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0F4B814FCBD1E6E66B9A99BDA34CD4EA.jpg,,,17,4,,,
25906,8412600071144,650.0,Bimbo,"Pão de forma especial torradas s/ côdea, 650g",,2.09,3.22,0,kg,€/Kg,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE072CBAE2B254D11818DC4B4A08F173.jpg,,,17,5,,,
26580,5600798960163,200.0,Shoyce,Creme culinário soja light,Garrafa de 200 ml,1.03,5.15,200,L,€/L,,Produtos Bio,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CC263813DE6A8BEF285425FD77A9AB4E.jpg,,,17,5,,,
2671,8410000001013,300.0,Chips Ahoy!,Bolachas chips ahoy,Embalagem de 300g,2.99,9.97,0,kg,€/Kg,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5DFB4AEB0DE1B93FA331E4FE3B3A02DC.jpg,,,17,5,,,
43012,5604260307197,300.0,PorSi,Comida húmida para cão de frango,Embalagem de 300 g,0.75,2.5,0,kg,€/Kg,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E18D56D7EBECE5FA4FFC211D3EDBE796.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3FD0F0D9955E6135023C13E6B1D173A7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3FD0F0D9955E6135023C13E6B1D173A7.jpg,17,5,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3FD0F0D9955E6135023C13E6B1D173A7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3FD0F0D9955E6135023C13E6B1D173A7.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3FD0F0D9955E6135023C13E6B1D173A7.jpg
52079,8711327585782,330.0,Magnum,Gelado Mini Double Caramel e Gold Caramel Billionaire,Embalagem de 330 ml,6.65,20.15,330,L,€/L,,Tipo de stockagem,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D564E502B2870AC727EEABF11EB02168.jpg,,,17,5,,,
1118,5601066301428,500.0,Nacional,Esparguete fino,Embalagem de 500g,0.99,1.98,0,kg,€/Kg,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/67F0D19883C839DBA45E58C8EE2EE72B.jpg,,,17,5,,,
11642,5601180002003,1000.0,Vigor,Leite pasteurizado magro,Garrafa de 1 l,0.98,0.98,1000,L,€/L,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4712850F57AD5A8BB3282BD0DF37AD78.jpg,,,17,5,,,
11671,5601217126382,1650.0,Woolite,Detergente líquido p/ máquina lavar roupa cores,"Garrafa de 1,65 l",6.99,4.24,1650,L,€/L,,1000 Artigos,2024-08-02T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/50465693868DD35972833B1D4D848AC2.jpg,,,17,5,,,
1274,5601151070758,410.0,Compal,Feijão manteiga,Lata de 410 ml,1.09,2.66,410,L,€/L,,,2024-07-17T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F0994D6790474BD2BB5E91E2063CEE44.jpg,,,17,5,,,
