identifier,idProduit,itemId,produitEan13,pviIncrement,capacite,qteMaxPanier,marque,libelle,conditionnement,prix,unitPrice,prixKg,prixBarre,vignetteCollector,pictogrammes,poidsMinimum,poidsNet,poidsUnite,volume,isTrad,isPresentAlcoholProduct,avantages,origine,categorie,nbPiece,typeProduit_code,typeProduit_value,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_idCategorie,pictogrammes_idPicto,pictogrammes_image,pictogrammes_infoBulle,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,images_0,images_1,images_2,images_3,images_4,images_5,page,nro_paginas
19517,8410436212045,19517,8410436212045,1,100.0,99,Sonasol,Bloco Sanitário Sólido Poder Activo Pinho,Embalagem de 2x50 g,2.99,29.9,29.9,0.0,0,[],100,100,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B4916DFCD2D0AA985B144B5382CBE6AB.jpg,,,,,,1,16
41116,5604260304622,41116,5604260304622,1,750.0,99,Selecção de Enófilos,Vinho branco regional península de Setúbal,Garrafa de 0.75 l,1.79,2.39,2.39,0.0,0,[],0,0,0,750,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/957F8F23292AA4844FB75460C8B3B2DE.jpg,,,,,,1,16
1434,5601260037109,1434,5601260037109,1,1000.0,99,Cigala,Arroz agulha,Embalagem de 1 kg,1.35,1.35,1.35,0.0,0,[],1000,1000,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9B1F36F6AAAF2732F8672B52B380B44F.jpg,,,,,,1,16
10597,8712100326356,10597,8712100326356,1,360.0,99,Olá,Gelado fizz limão,Embalagem de 6 x 60 ml,2.99,8.31,8.31,0.0,0,"[{'idPicto': 69, 'idCategorie': 28, 'libelleCategorie': 'Tipo de stockagem', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8136.png', 'infoBulle': ''}]",0,0,0,360,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,28.0,69.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8136.png,,Tipo de stockagem,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B7E16F17B7B06D43C1CACBF7F0F7DC5A.jpg,,,,,,1,16
29126,8001090134257,29126,8001090134257,1,,99,Dodot,Toalhitas,4 x 64 un.,4.04,4.04,4.04,0.0,0,[],0,0,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,0.0,PU,Pièce unitaire,,€/Unidade,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/51A14648AD5FBD4B298A2BDC5A9D2E36.jpg,,,,,,1,16
5273,5601164902343,5273,5601164902343,1,7920.0,99,Super Bock,Cerveja c/ álcool,pack 24 x 0.33 l,16.99,2.15,2.15,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",0,0,0,7920,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9036A4A1A895E7D1EC16B298057D65EB.jpg,,,,,,1,16
13947,2891125000000,13947,2891125000000,150,150.0,99,Peru,Espetadas de Peru,1 un = 150 gr (aprox.),0.97,6.49,6.49,,0,[],150,150,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F64981E370592175339C16298CEA7C3B.jpg,,,,,,1,16
26047,8412600070994,26047,8412600070994,1,650.0,99,Bimbo,Pão de forma s/ côdea,Embalagem de 650 g,1.89,2.91,2.91,0.0,0,[],650,650,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/998967574B383CCF8D49F03316F06108.jpg,,,,,,1,16
10095,8435257040899,10095,8435257040899,1,640.0,99,Nestlé,"Iogurte líquido yoggi morango,  4 x 160 g",,1.98,3.09,3.09,0.0,0,[],640,640,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F1F347BA34EB28F1148C3C442A42CC17.jpg,,,,,,1,16
50405,8445290489173,50405,8445290489173,1,900.0,99,Cerelac,Papa Infantil + 6 meses,Embalagem de 900g,6.29,6.99,6.99,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",900,900,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AC49BEE482A5844CB7C28462BEA4C70C.jpg,,,,,,1,16
24412,8410436297660,24412,8410436297660,1,1300.0,99,Sonasol,Lava tudo aloe vera e flores brancas,"Embalagem de 1,3L",2.09,1.61,1.61,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",0,0,0,1300,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/99177C313800E1C306087975E7A5D1E7.jpg,,,,,,1,16
34469,5604260282937,34469,5604260282937,1,750.0,99,Selecção de Enófilos,Vinho rosé regional península de Setúbal,Garrafa de 0.75 l,1.79,2.39,2.39,0.0,0,[],0,0,0,750,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/47CFB05F3D3C532C54D3189B0B4B0BDA.jpg,,,,,,1,16
15952,7613032918729,15952,7613032918729,1,3000.0,99,Friskies,Ração para gato adulto de interior,Embalagem de 3 kg,9.48,3.16,3.16,0.0,0,[],3000,3000,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7CA805A2F980FE0091D14971E5B8D99F.jpg,,,,,,1,16
12994,2892524000000,12994,2892524000000,100,100.0,99,Legumes,Cenoura Granel,1 un = 100 gr (aprox.),0.09,0.85,0.85,,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",100,100,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,CATEGORI,,PVI,Poids variable à intervalle,,€/Kg,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6427FE21A79FA79A1E8CC03E5F3B3703.jpg,,,,,,1,16
14921,2892534000000,14921,2892534000000,400,400.0,99,Legumes,Couve Bróculo,Vendido ao peso,0.68,1.69,1.69,,0,[],400,400,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,CAT.: II,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4F48873F332B6ECE759CD88793270811.jpg,,,,,,1,16
13892,2891041000000,13892,2891041000000,500,1000.0,99,Porco,Costeletas do Lombo,Vendido ao peso a partir de 1 kg,3.89,3.89,3.89,,0,[],1000,1000,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CEDBCB04142A68CDED3690FB39820D0.jpg,,,,,,1,16
12887,2892089000000,12887,2892089000000,500,500.0,99,Fruta,Manga Barco,1 un = 500 gr (aprox.),1.5,2.99,2.99,,0,[],500,500,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: BRASIL,CAT.: I,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ADC504D3921218CCB4DF31F75AAF28C0.jpg,,,,,,1,16
14897,2892245000000,14897,2892245000000,4000,4000.0,99,Fruta,Melancia Riscada,Vendido ao peso | 1 un = 4kg (aprox.),3.96,0.99,0.99,,0,[],4000,4000,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: MARROCOS,CAT.: I,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA3D63A30F9BA2DBBD75810E5FD774FC.jpg,,,,,,1,16
34385,5604260285754,34385,5604260285754,1,,99,PorSi,Papel higiénico reciclado 2 folhas,12 rolos,2.19,2.19,2.19,0.0,0,[],0,0,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,0.0,PU,Pièce unitaire,,€/Unidade,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72941FE987ADE69A0F98448B6C07191D.jpg,,,,,,1,16
14038,2696013000000,14038,2696013000000,1,80.0,99,Padaria,Bola mistura,1 unidade= 80 g,0.17,2.13,2.13,,0,[],80,80,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",-,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9D6E30346316F689C4A5A61ADBADBAB3.jpg,,,,,,1,16
15044,2892296000000,15044,2892296000000,150,150.0,99,Fruta,Pera Packam 65/70,1 un = 150 gr (aprox.),0.22,1.49,1.49,,0,[],150,150,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: AFRICA DO SUL,CAT II,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FB563A374F4EA6B318353237C8ABEC1F.jpg,,,,,,1,16
13894,2891044000000,13894,2891044000000,500,1000.0,99,Porco,Entremeada sem Entrecosto,Vendido ao peso a partir de 1 kg,4.78,4.78,4.78,,0,[],1000,1000,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C03EF63C56AFB4E4EA78E134436BF30C.jpg,,,,,,1,16
13897,2891053000000,13897,2891053000000,500,1000.0,99,Porco,Lombo sem Osso,Vendido ao peso a partir de 1 kg,4.49,4.49,4.49,,0,[],1000,1000,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/415564DA70574ED3C1D7475F1F28BDB6.jpg,,,,,,1,16
26091,7613036115575,26091,7613036115575,1,550.0,99,Nestlé,Cereais estrelitas,Embalagem de 550g,3.49,6.35,6.35,0.0,0,[],550,550,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C94C2BEBB47FF1CA98FCF1DC9BAD855D.jpg,,,,,,1,16
43543,5604260309931,43543,5604260309931,1,2000.0,99,PorSi,Amaciador concentrado para roupa alfazema,80 doses,1.85,0.93,0.93,0.0,0,[],0,0,0,2000,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5409BC73A7BC8F3D22007B47163FD8C7.jpg,,,,,,1,16
48138,5604260323302,48138,5604260323302,1,2000.0,99,PorSi,"Amaciador concentrado spa, 80 doses",,1.85,0.93,0.93,0.0,0,[],0,0,0,2000,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B55A72265AD19CED3CBED903155DF619.jpg,,,,,,1,16
7240,3073780902366,7240,3073780902366,1,120.0,99,Babybel,Queijo mini,Embalagem de 6x20 g ,1.99,16.58,16.58,0.0,0,[],120,120,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C2AEB33307B3FB83CB9A7C96FA47EBE6.jpg,,,,,,1,16
9292,5603722493812,9292,5603722493812,1,250.0,99,Matinal,Manteiga Magra,Embalagem de 250g,2.29,9.16,9.16,0.0,0,[],250,250,0,0,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUP,Pièce avec poids,kg,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B0EFE8F0BAC9D546B0137E2AAE6CB19F.jpg,,,,,,1,16
11464,5601018003400,11464,5601018003400,1,1000.0,99,Matinal,Leite Seleccionado Meio Gordo,Embalagem de 1L,0.98,0.98,0.98,0.0,0,[],0,0,0,1000,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D40D4EB6EAF6BEF7329493925CCD97C.jpg,,,,,,1,16
11961,5603722505607,11961,5603722505607,1,1000.0,99,Mimosa,Leite s/ lactose meio gordo,Garrafa de 1 l,1.14,1.14,1.14,0.0,0,[],0,0,0,1000,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B50AD06E1D69691E134268704FD849E5.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E57BFE09E8D859BDBE1705476BB9F1B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E1F70144AAFCC0EAEBFF05614177D009.jpg,,,,1,16
1230,5601146232512,1230,5601146232512,1,1500.0,99,Joi,"Refrigerante sem gás, maracujá e la","Garrafa de 1,5 l",1.39,0.93,0.93,0.0,0,[],0,0,0,1500,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D23ED4125E0EF0BCF408343FFE16E2DF.jpg,,,,,,1,16
1308,5601151979099,1308,5601151979099,1,1250.0,99,Sumol,Refrigerante com gás de laranja,"Garrafa de 1,25 l",1.09,0.87,0.87,0.0,0,"[{'idPicto': 3682, 'idCategorie': 52, 'libelleCategorie': 'Cabaz Compromisso', 'image': 'https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png', 'infoBulle': ''}]",0,0,0,1250,False,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",,,,PUV,Pièce avec volume,L,€/L,,52.0,3682.0,https://driveimg1.intermarche.com/pt/Ressources/images/publication/8175.png,,Cabaz Compromisso,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ECE6BD1006EEE4AC73A1110926F981DC.jpg,,,,,,1,16
13893,2891043000000,13893,2891043000000,500,1000.0,99,Porco,Entrecosto,Vendido ao peso a partir de 1 kg,4.99,4.99,4.99,,0,[],1000,1000,0,0,True,False,"[{'dateFin': '2024-06-05T23:59:59.999999999+01:00', 'categorie': 'PROSPECTUS'}]",ORIGEM: PORTUGAL,,,PVI,Poids variable à intervalle,,€/Kg,,,,,,,2024-06-05T23:59:59.999999999+01:00,PROSPECTUS,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA05EE99D302D59771FCC108473E0700.jpg,,,,,,1,16
