identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,avantages_dateFin,avantages_categorie,nro_paginas,page,images_3
13817,2892582000000,250.0,Legumes,Pimento Verde,1 un = 250 gr  (aprox.),0.6,2.39,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7B3A4CEB1862E90C3453A121EC9872E4.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
16420,5604260248070,250.0,PorSi,Creme vegetal para culinária,Embalagem de 250g,0.77,3.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A51DBC41FEB55C6E0E677706BC601410.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.98,4.98,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C9E276B082B119EFEDC2A2B0E1BC737E.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
15010,2892545000000,1000.0,Programa Origens,Couve Flor,1 un = 1 kg (aprox.),1.69,1.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73DF9B2986748054B9303F926F23B964.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
15060,2892453000000,1000.0,Programa Origens,Abóbora Butternut,1 un = 1 kg (aprox.),0.99,0.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EAB55C948223F5C0DA9E5CFE8535733D.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
16419,5604260127535,1000.0,PorSi,Creme vegetal para culinária,Embalagem de 1 kg,2.49,2.49,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EFC5230486AA9D2C9C956D01F8E963C1.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
21575,2696085000000,400.0,Padaria,Pão com Chouriço,1 unidade = 110 gr,0.89,2.23,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/673C28446F7F888A1D0D3823120949B6.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
11523,5601051410029,250.0,Primor,"Manteiga com sal, 250g",,1.97,7.88,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5E7E0622B0F1F3C827A5445EBDA354EF.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
1189,5601119007987,250.0,Nobre,Salsichas de porco,Lata de 250g,1.67,6.68,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/098AB25EB23B66D623E253A97FD15BDF.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
12889,2892175000000,150.0,Fruta,Kiwi categoria II,1 un = 150 gr (aprox.),0.52,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8ECB4A8CBEF9251912188D64C7413AB3.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
14346,3387390406849,150.0,Nestlé,Barras cereais chocapic,Embalagem de 150g,2.99,19.93,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/62C7C838E38BFF97731D8D005E4F2D59.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
15059,2892578000000,200.0,Legumes,Nabo Roxo sem Rama,1 un = 200 gr (aprox.),0.4,1.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EECF99CF1D26FD88C91EC2A5B22EA3C8.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
16857,5603344531114,110.0,General,Atum natural,Embalagem de 110g,1.1,10.0,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/134BCB035260DA080E0EB7CE51D7253D.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
17430,2696318000000,500.0,Padaria,Pão de Trigo da Benedita,500 g,0.99,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6A63783BD07721517E04DA6CF8FD94ED.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
2306,5604260271672,800.0,PorSi,Bacalhau posta média,Embalagem de 800g,8.99,11.24,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/46A5E7A7E6BD0748CBF480302ABE9AAC.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
25861,5603722509759,800.0,Mimosa,Leite C/ Chocolate,Embalagem de 4 x 200 ml,1.49,1.86,800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/754E59DFB7314FD42DB15B9A65008D5F.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
2587,7622300165628,160.0,Oreo,Bolachas mini,Embalagem de 160g,1.85,11.56,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/379964D6691C2653C7F14552CE094A62.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
32408,5601050034967,600.0,Danone,"Danacol aveia,  6 x 100 g",,2.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D8B4CB4708653F3D4BB9B148DB6D8336.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
8994,5601511000012,200.0,Limiano,"Queijo flamengo, fatias",Embalagem de 200g,2.15,10.75,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/86AD0748081C379158BF2EE3F6F67244.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
8996,5601511000357,200.0,Limiano,"Queijo em fatias -50% gordura, 200g",,2.19,10.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A6B93C0CB6D9BBBEB1609EFDC3F10F68.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
929,5601001187803,630.0,Nestlé,Cereais chocapic,Embalagem de 630g,3.49,5.54,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/24F5DB132F7E18A7786689AD5CB8DB19.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
931,5601001228100,300.0,Nestum,Nestum flocos de cereais com mel,Embalagem de 300g,2.24,7.47,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3533A13BC534891673C8C96375839B78.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
959,5601019012418,1000.0,Guloso,Polpa de Tomate,Embalagem de 1 kg,1.79,1.79,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3B354CF768C18B28FB1B1316955F339F.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
11925,5603089002221,200.0,Parmalat,Nata uht para culinária,Embalagem de 200 ml,0.89,4.45,200,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/39B2978C231528EFFB97F8BADC2C7332.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
12940,2892083000000,200.0,Fruta,Lima,1 un = 200 gr (aprox.),0.5,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/20A6BBEF6B12F4FB4181A414DFA3AAB3.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13126,2893105000000,600.0,Peixaria,Dourada de Viveiro,de 600 a 800g,5.39,8.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/029F52875DBC51F21511F40D4DB7EF92.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
1322,5601163011114,5400.0,Luso,Água s/ gás,"Garrafa de 5,4 l",1.59,0.29,5400,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B414C742356ECF49B4C0D49D2F721F7.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13523,2893515000000,250.0,Peixaria,Lula Congelada,1 un= 250 gr (aprox.),1.25,4.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2B7BBDC4CDC3C912C9CD2FEC6D3B682.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13541,2893533000000,250.0,Congelado de Aquicultura,Camarão Congelado 60/80,1 un = 250 gr  (aprox.),1.75,6.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/29A2DFA509FFDAFCD18E7F308BD753B4.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13585,2893580000000,250.0,Marisco,Gambão Congelado 20/30,Vendido a partir de 250 (aprox.),2.25,8.99,0,,€/Kg,,Avantages !,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4D0BD52A2A6DCE6EE965D391A979212D.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13892,2891041000000,1000.0,Porco,Costeletas do Lombo,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0CEDBCB04142A68CDED3690FB39820D0.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
13894,2891044000000,1000.0,Porco,Entremeada sem Entrecosto,Vendido ao peso a partir de 1 kg,4.88,4.88,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C03EF63C56AFB4E4EA78E134436BF30C.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
14865,2696212000000,,Pastelaria,Folhado Misto 90 g,,0.69,0.69,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9A6753DB758F20AE554301F0A4A50040.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
15507,5601050031621,480.0,Danone,"Iogurte activia cremoso coco,  4 x 120 g",,1.99,4.15,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/05783495E4A676779F417115EB52CFE8.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
16593,2696081000000,60.0,Padaria,Carcaça Forno de Pedra,1 un = 60 gr (aprox.),0.29,4.83,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B1CD30CEA45F091D5F9093675329BA5E.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
17189,5603344531107,110.0,General,"Atum em posta, em azeite",Embalagem de 110g,1.49,13.55,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/23F9119BF17F96B8DBD56B1983340EF6.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
17827,5603344531022,110.0,General,Atum posta em óleo,Embalagem de 110g,0.94,8.55,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0B70BBA12E696DF4BBA1975714F843B4.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
20221,8410500020071,480.0,Danone,"Iogurte activia aveia nozes,  4 x 120 g",,2.39,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E3646F8812C5353023D3951FE268028D.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
21767,7613035487871,90.0,Nestlé,Fruta para bebé multifrutas +4 meses,Embalagem de 90g,0.78,8.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/59D3B6826D610DDEB0688A4041A5FB71.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
22307,5601019012647,390.0,Guloso,Tomate em pedaços,Embalagem de 390g,1.45,3.72,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4A21D86DB7B874B78F3C53E43852C123.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
23469,8410500020453,280.0,Danonino Danone,"Danonino para levar, polpa de morango,  4 x 70 g",,2.14,7.64,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BCB8B07B4A9632B9CA3C8436CD26979D.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
251,2696001000000,400.0,Padaria,Baguete,400 g,0.79,1.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/872B1FA740AE707B5EB206709F5F94A0.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
2644,8000500071083,200.0,Kinder,"Chocolate, 16 tabletes",Embalagem de 200g,2.79,13.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ADB8FDD8CA3480DA39CCE605774A1A8F.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
33532,8410375110228,150.0,Bonduelle,Milho doce,Embalagem de 150 g,1.09,7.27,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4E120222FAAAD0D56ACE6DFCD6AA553A.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
3564,2894493000000,150.0,PorSi,Fiambre da Perna Extra,1 un = 150 gr (aprox.),1.35,8.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/49AE3FB33A4713700D81E8B473AE23AB.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
35873,8434165506411,150.0,Cuétara,Bolachas waffers com recheio de limão,Embalagem de 150 gr,0.99,6.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C1A6DD3ED37BFF546B5EAEDF5E929842.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
35874,8434165442870,150.0,Cuétara,Bolachas waffers com recheio de cacau e avelã,Embalagem de 150 gr,0.99,6.6,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/368BE7E735B968F4E93C7D83EDAAE121.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
36945,8719200009899,500.0,Vaqueiro,Margarina líquida,Embalagem de 500 ml,2.44,4.88,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/18B276D9701F28BD99E88251DF4CDB08.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
392,8712566173860,70.0,Knorr,Canja c/ aletria,Embalagem de 70g,1.6,22.86,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/97E00E32BCAF3594A1D59DEF0C0A64C0.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
405,8712566410910,280.0,Calvé,Ketchup,Embalagem de 280g,1.69,6.04,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D7E099A6ABAECF4C5D06260734A2C975.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D7B165FF00CA45BD8F6AC077E3CA1EC.jpg,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
40652,5604260303250,1000.0,PorSi,Batata pré-frita noisette,Embalagem de 1 kg,2.49,2.49,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EDA22D9D4595E9502C57E47AD9D6288C.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
40925,8710522652138,240.0,Calvé,Maionese,Embalagem de 240g,1.59,6.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BAE5DB5E204D247526D3D3D4E5D5A52E.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8E23B17512BCD2C444A6228885CC4217.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8E23B17512BCD2C444A6228885CC4217.jpg,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
50454,5603722521829,1208.0,Mimosa,"Iogurte líquido Aroma Banana e Morango, 8 x 151 ml",,2.79,2.31,1208,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/075A7A2665714F15CA6F04254C980D30.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
51955,5601151966518,1000.0,Compal,Clássico Néctar Maçã,Embalagem de 1 L,0.99,0.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2643B0696CA4CCB2A26E95A0182A2704.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
52377,8720181385131,,Skip,Detergente Máquina Roupa Líquido Sabão Natural,100 Doses,11.99,11.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C8D069DB25783C2FC7889DE8456B0590.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
52880,8719200267794,450.0,Becel,"Creme Vegetal de Barrar com Sabor a Manteiga, 450g",,2.99,6.64,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/287D301C66C180312FAA8A3BAE7EA710.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
9279,5603533652002,1000.0,Frize,Água c/ gás limão,pack 4 x 0.25 l,1.99,1.99,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5168323A2D812BEF907FCB0E5F1CDA9E.jpg,,,2024-11-13T23:59:59.999999999Z,PROSPECTUS,8,1,
