identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,avantages_dateFin,avantages_categorie,nro_paginas,page
53887,5604260328642,250.0,PorSi,Salsichas Frankfurt Lata 10 Unidades,,1.19,4.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/958C25AF6C5BB6C112B5B51BF3629B73.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
53919,2696282000000,250.0,Pastelaria,"Baguete Constance, 250 g",,0.79,3.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E31381B4AE9393D5575E71A4567985AE.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
54294,3600542523035,270.0,Ambre Solaire,"Protetor Solar Spray Sensitive Advanced FPS 50+, 270ml",,14.09,52.19,270,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/36923D8A047010E409BFF281E0D1623C.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A38EDAC1200CE150CA6E33AFFF91BB30.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A38EDAC1200CE150CA6E33AFFF91BB30.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A38EDAC1200CE150CA6E33AFFF91BB30.jpg,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,3
54355,9000100656863,,Bref,"Bloco Sanitário Poder Activo Aqua Duplo, 2un.",,2.99,2.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D4402DF4DBC8F18978353140489AAE1.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
544,3228881083326,30.0,Lipton,"20 saquetas chá noite tranquila, embalagem de 30g",,2.09,69.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/918429936BF1A7F518EA4E4A9580CA69.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54428,3600524135690,150.0,Elvive,"Condicionador Glycolic Gloss, 150ml",,4.94,32.93,150,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5678CCE2CFF48FF0592CEE15C4E38F32.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54536,8006540521830,,Fairy,"Detergente Máquina Loiça Pastilhas Original Tudo em 1, 21D",,5.98,5.98,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1A348FE6C1FFA1BF08E9B5F7635F30CB.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54604,8720181471636,720.0,Dove,"Gel de banho fresh care, 720ml",,4.79,6.65,720,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A04F69573CB714F101DE27F9EF62ED87.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54606,8720181466359,720.0,Dove,"Gel de banho hydrate, 720ml",,4.79,6.65,720,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/73576AE98695DDB42CEBA03FBEBB469E.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
54648,5000204356717,,Glade,"Ambientador Vela Mel e Chocolate, 1un.",,2.49,2.49,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6E4CF6C6B89DBD47B6210E79947E9D76.jpg,,,,,,2025-07-16T23:59:59.999999999+01:00,PROSPECTUS,13,4
