identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page,images_6,avantages_dateFin,avantages_categorie
13095,2893071000000,100.0,Peixaria,Carapau Pequeno,1 un = 100 g (aprox.),0.4,3.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/07606BE143D22CF4796A63CA9C752E5B.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
13981,2696138000000,60.0,Pastelaria,Pastel de Nata,60 g,0.33,5.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA9B10BF07D95E268418206A452F7022.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
1451,5601286201782,500.0,Milaneza,"Massa esparguete, embalagem de 500g",,0.88,1.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FF90DF8806B7F52F8AD5ECEED9AAA2FA.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
1461,5601286223784,500.0,Milaneza,"Massa de cotovelos grandes riscados, embalagem de 500g",,0.98,1.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7983C23BD243065514145A575FF52416.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
1463,5601286232779,250.0,Milaneza,"Massa pevide, embalagem de 250g",,0.61,2.44,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7FABF67C8683DAD5B618F045601E14A4.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
1475,5601286273789,500.0,Milaneza,"Massa fusilli tricolor, embalagem de 500g",,1.26,2.52,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/89BD68C65931C04722FA40DDD3898CB2.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
1611,5601736901293,250.0,Mar Ibérica,"Cubos de Tamboril, emb. 250 gr",Embalagem de 250 g,3.39,13.56,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B7F6A60B0D063C4286B9079B713072D6.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
17115,5000116110155,640.0,Capitão Iglo,"Hambúrgueres de Vaca sem Glúten, emb. 640 gr (8 un)",Embalagem de 640g,9.99,15.61,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FAFE9FC4DDEB6CE7DCD2D721BE41E81.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
19046,5000116110414,480.0,Capitão Iglo,"8 hamburguers sem glúten frango, embalagem de 480g",,8.99,18.73,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B74DC0C9C4A898B602612BD394B808F5.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
34385,5604260285754,,PorSi,Papel Higiénico 2 Folhas Reciclado 6 Rolos,,2.15,2.15,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A1DBFD368962CC2E7DAC05F669F9A1E3.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
40383,2696845000000,500.0,Padaria,Pão forma de Rio Maior,500 g,1.45,2.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/17337BA5BC6BED0E351797EFE70D6ACA.jpg,,,,,,2026-02-18T23:59:59Z,PROSPECTUS,,,,,,,17,1,,,
