identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,images_5,images_6,avantages_dateFin,avantages_categorie,nro_paginas,page
46714,5604260318742,,PorSi,Papel Higiénico Branco 3 Folhas 12 Rolos,,3.79,3.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/302F6B4FE48393BA7E5D666ED55E249B.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
12981,2892463000000,400.0,Legumes,Alface Iceberg,1 un= 400 g (aprox.),1.0,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7BEC623624154857386001067031CDE3.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
13866,2891048000000,1000.0,Porco,Bifanas,Vendido ao peso a partir de 1 kg,4.49,4.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/72DE0DA6B485199AC995C629E3E4D279.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
15767,2892306000000,150.0,Fruta,Pêssego Vermelho Paraguaio,1 un = 150 gr (aprox.),0.37,2.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E985AD8FF876DA419791D2BAC514FA7F.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
52359,5604260329953,450.0,PorSi,Pão De Forma Sem Côdea 450 G,,1.09,2.42,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/83890B804745E674EA0C04B230391F3E.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
12906,2892001000000,100.0,Fruta,Clementinas,1 un = 100 gr (aprox.),0.2,1.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/91DC72E142D597026B000E92136FFB70.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
13893,2891043000000,1000.0,Porco,Entrecosto,Vendido ao peso a partir de 1 kg,4.79,4.79,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AA05EE99D302D59771FCC108473E0700.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
52361,5604260330485,200.0,PorSi,Pão De Hamburguer 200 G,,0.85,4.25,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1348FC3B00855311CCC563B91036D456.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
9621,5604260264766,150.0,PorSi,Batatas Fritas Em Azeite 150G,,1.45,9.67,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D03FBEB7A98191F27E0B9F42498BD17.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
12889,2892175000000,150.0,Fruta,Kiwi categoria II,1 un = 150 gr (aprox.),0.52,3.49,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/39D74C337E358C98856B0EB2FC79D7A8.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
13625,2893620000000,300.0,Peixaria,Salmão de viveiro à posta,1 un. = 300 g (aprox.),3.6,11.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A170DAF9DE78983CFA7E8DD1EFE6A371.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
18296,5604260278428,640.0,PorSi,Iogurte Líquido Piña Colada 4X160G,,1.29,2.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/18CCE0A2A676FEB83BAB491960F20E9E.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
1862,5604260042340,185.0,PorSi,Batatas Fritas Onduladas Com Sabor A Churrasco 185G,,1.34,7.24,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3A22AAF9574AA89A9DE8627F4B492DC1.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
2784,8410199021137,160.0,Ruffles,"Batata frita, embalagem de 160 g",,1.39,8.69,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/99D56823BC057150117915B487192BF1.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
36774,5604260300686,640.0,PorSi,Iogurte Líquido Stracciatella 4X160G,,1.29,2.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6CC82B08FFB7D4379F1B37DDDE2A4AE9.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
45758,5604260286591,500.0,PorSi,Bolachas Com Recheio Sabor Chocolate 500 G,,1.59,3.18,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/519049251E0BD7439B4E15173D8DEB35.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
50658,7622201724443,150.0,Philadelphia,Queijo creme philadelphia light 150g,,1.79,11.93,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8FABEA35481B05FDB647E4BD69595A1D.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
14947,2891215000000,150.0,Frango,Espetadas,1 un= 150 gr (aprox.),1.15,7.69,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE13AA549ADEC08AA2FF877D2299FBFE.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
36523,5604260295661,2500.0,PorSi,Batata pré-frita palito,"Embalagem de 2,5 kg",4.45,1.78,0,kg,€/Kg,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CD0ECED2F64941F1ED73448F895103A.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
41774,5604260306718,640.0,PorSi,Iogurte Líquido Melão E Melancia 4X160G,,1.29,2.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/31AEBAAA540739B5D42651F7D28CCD67.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
9293,5603722493942,250.0,Primor,Manteiga pasteurizada com sal cuvet,Embalagem de 250g,2.19,8.76,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F3F4D9FDF2A69DC31DE35D801759C2EE.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
12107,5604260266609,320.0,PorSi,Napolitanas Creme De Cacau,,1.77,5.53,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7E715318E7923DFB0EA8242531AE3823.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
17665,8712100745591,754.0,Calvé,"Maionese top down, embalagem de 753 g",,3.49,4.63,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C6F00A8AA4D7D21E56D34CFA61170423.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
1816,5604260301775,540.0,PorSi,Feijão frade,Embalagem de 540g,0.89,1.65,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F863BEC0F48D2513FC0D1879484DF975.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
18295,5604260278411,640.0,PorSi,Iogurte Líquido Morango E Cereais 4X160G,,1.29,2.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/77FF2EFA6010C76FAECF5B9D28E76BCE.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
18298,5604260278459,640.0,PorSi,Iogurte Líquido Morango 4X160G,,1.29,2.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5AA15072FFE4E6E4A9DFE7A08632C5BC.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
2458,7613031423583,625.0,Nestlé,Cereais nesquik,Embalagem de 625g,3.24,5.18,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/154B8C74F4EECBF4F38F20B4618C4981.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
37745,5604260301874,540.0,PorSi,Grão de bico,Frasco com 540 g,0.85,1.57,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/ABBBFB42757051E49B0E75B4C2EB061F.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
38321,2696806000000,250.0,Padaria,Pão gémeos,250 g,0.54,2.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A99E9F55D9FD5180D848A5ADDB578F15.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
46310,2696876000000,20.0,Padaria,Pão de queijo,1 un. = 20 g,0.19,9.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A67910D9562F896034448149C3EA4AF4.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
49831,8445290157348,390.0,Nesquik,"Achocolatado em pó, embalagem de 390g",,3.49,8.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1C8D0ADDD419DD646B2CF36E18D3378F.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
929,5601001187803,625.0,Nestlé,"Cereais chocapic, 625 g",,3.74,5.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/8DB31C1F3066D48D593AE11B75516670.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
10910,3250390010586,250.0,Páturages,Queijo camembert 45% mg,Embalagem de 250 g,1.99,7.96,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7C9F5B55F7320E544E58C79F8FBB96B2.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
13981,2696138000000,60.0,Pastelaria,Pastel de Nata,60 g,0.39,6.5,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EA9B10BF07D95E268418206A452F7022.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
14372,8712100599392,550.0,Calvé,"Ketchup top down, embalagem de 550g",,2.59,4.71,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6D3218F33B22BC3205033BC41E176600.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/FE7F103C359D2D1FD7BF3FDC8DD381BA.jpg,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
1845,5604260035854,185.0,PorSi,Batatas Fritas Lisas Com Sabor A Queijo E Ervas 185G,,1.84,9.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E9E6993B7202404AB95C04A2C893A1AC.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
20434,5601244500063,1000.0,Terra Nostra,"Leite de pastagem meio gordo, embalagem de 1litro",,0.89,0.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/416A848D81A31A3BE14CC7E8951CC4DA.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E82125FE177156A16B33D08208F11D7F.jpg,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
24650,2892247000000,4000.0,Fruta,Melancia,Vendido ao peso | 1 un = 4kg (aprox.),2.36,0.59,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C0453D565ABA4C6B0EAFD737DCA5ED98.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DAA9018116B6225E5E4D86EF44FD7710.jpg,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
24811,5604260276363,600.0,PorSi,Gelado Sandw.Nata/Choc.6X100Ml,,2.49,4.15,600,L,€/L,,Tipo de stockagem,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E32BF05E787615CAC3DCF287D228BF70.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
25882,5449000133328,1000.0,Coca-Cola,Refrigerante C/ Gás Zero,Garrafa de 1 l,1.19,1.19,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EB5646C1819F93681606ED25E6CF32EB.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
28608,5604260282821,640.0,PorSi,Iogurte Líquido Frutos Tropicais 4X160G,,1.29,2.02,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/98DAB469B1CF7CBC9019272104A0FF20.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
36263,5601027973060,480.0,Bimbo,Pão de forma integral,Embalagem de 480 g,1.89,3.94,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/34F016B3F162809D8E0423F1C3245DFD.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
46715,5604260318759,,PorSi,Papel Higiénico Branco 4 Folhas 12 Rolos,,5.05,5.05,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/71B84E02290AD35D82ACC6CF2D01690A.jpg,,,,,,,2025-08-20T23:59:59.999999999+01:00,PROSPECTUS,11,1
