identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,images_0,images_1,images_2,images_3,images_4,images_5,pictogrammes_libelleCategorie,avantages_dateFin,avantages_categorie,nro_paginas,page,images_6,pictogrammes_0
51948,8719200253056,200.0,Planta,"Planteiga sem Sal Vegan, 200g",,1.49,7.45,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6B07C8375772AE175A841170A028D654.jpg,,,,,,Produtos Bio,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52313,0000059095569,50.0,Rexona men,Desodorizante Roll On Men Quantum Dry 72H,Embalagem de 50ml,3.59,71.8,50,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/24E5D7AC59EEA01928B1A62F737CFF07.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52314,8720181214011,50.0,Rexona,Desodorizante Spray Invisible Pure 72H,Embalagem de 50ml,3.29,65.8,50,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/89E8C645AFEA900BFF1D842E3FDFF6D2.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52327,8720181385087,,Skip,Detergente Máquina Roupa Líquido Roupa Escura,56 Doses,9.99,9.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E0D1F9F4573871E5DC8853A835283320.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52328,8720181385100,,Skip,Detergente Máquina Roupa Líquido Baby,56 Doses,9.99,9.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/825352D7869A319C8A3A885BD4932367.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52373,8720181384929,,Skip,Detergente Máquina Roupa Líquido Sensitive,76 Doses,11.99,11.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/61929A1D7DD3255CD6C78DACDFB51F9A.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/08584FC3B52052055861732D08983BEF.jpg,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52518,5601217137753,,Finish,Detergente Máquina Loiça Power Limão,60 pastilhas,11.99,11.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/526D668404590B5225313BA14BAC66F5.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52527,5604260329656,750.0,Selecção de Enófilos,Vinho Branco Alentejo Antão-Vaz,Garrafa de 0.75 litros,2.99,3.99,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E250910A437131CAA095AC58E610C45.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52577,8445290830609,,Nescafé,"Café Descafeinado Sical Intensidade 5, 16 Cápsulas",,4.99,4.99,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/51AD3F59B528B81442C205A8FA3A74C3.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52599,5601217137968,1710.0,Quanto,"Amaciador Roupa Concentrado Violetas do Bosque, 95 doses",,3.99,2.33,1710,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/158716B89DDA66C93B622A001C4C974A.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52839,8720181380686,,Skip,"Detergente Roupa Máquina Cápsulas Skip Baby Embalagem Cartão, 32 doses",,8.99,8.99,32,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9D5657D4263153C15B398271532DDB88.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,7,,
52881,8719200267190,450.0,Becel,"Creme Vegetal para Barrar Original, 450g",,2.89,6.42,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D67292663C5C1617E51BCDF904BF56A4.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
52893,8720182632258,3780.0,Surf,"Detergente Líquido Máquina de Roupa Tropical, 84 Doses",,9.99,2.64,3780,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/CAA92D4FBECE6F1387F408E79BA0989D.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
52934,5603722522550,600.0,Agros,Bebida Láctea Café,Embalagem de 3 x 200ml,1.85,3.08,600,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0FB5A2C12029001B9FDF536CD6412712.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
52935,5603722522628,200.0,Matinal,"Manteiga Magra Sem Lactose, 200g",,1.89,9.45,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2A7DC81F20D438007A5500C63648E75B.jpg,,,,,,Produtos Bio,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
52942,8720181385070,2520.0,Skip,"Detergente Líquido Máquina de Roupa Cores, 56 Doses",,9.99,3.96,2520,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/DA89C34C561727E74F60C33922AB0C9D.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
52943,8720181392894,1332.0,Comfort,"Amaciador Concentrado Essência Sunfresh, 74 Doses",,3.49,2.62,1332,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4B45CB47C484E122AFEE45709A63BE0A.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
5893,5604260227341,750.0,Selecção de Enófilos,Vinho verde tinto,Garrafa de 0.75 l,2.29,3.05,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/F1E059862BEFC90182B00F6A6700C6BD.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
5940,5604260264575,1500.0,Selecção de Enófilos,"Vinho DOC Dão, Tinto","Garrafa de 1,5 L",5.39,3.59,1500,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3436F9A46CDD6A25239609D1E64F74D.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
6058,5608527000517,750.0,Dom Campos,Dom campos tinto vrp setúbal,Garrafa 0.75L,1.99,2.65,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/170C2455F837E55495A8EB5DCCE04502.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
6130,7613033738432,60.0,Felix,Snack para gato seaside,Embalagem de 60g,1.49,24.83,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/960F5652782A801F10BD5B20A81EC8AF.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
7295,3147690089704,750.0,Cruz,Vinho do porto tawny,"Garrafa de 0,75 l",5.49,7.32,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/15A76339A08A1C7F2E2FA8AD2BB8E4BE.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
768,4005500030300,400.0,Yogolino,Nestle iogolino prep iog morango 100g,Embalagem de 400g,2.24,5.6,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/74338F0422E4872B709E9AAF722C255D.jpg,,,,,,1000 Artigos,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
8508,5601110113205,750.0,Cabeça de Toiro,Vinho DOC Tejo Tinto Reserva,Garrafa de 0.75 l,5.49,7.32,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/EADE66D1097A14209B44751A85B7C009.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
8795,5601237241225,750.0,JP,Vinho regional península de setúbal tinto,Garrafa de 0.75 l,2.24,2.99,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/679C2476166E0ECB3B88E8B52FB86208.jpg,,,,,,1000 Artigos,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
8912,5601356013161,750.0,Porta da Ravessa,Vinho doc alentejo branco,Garrafa de 750 ml,1.99,2.65,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C22D11D5D89DC0063C888DCFA29E68AE.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
8915,5601356013925,750.0,Porta da Ravessa,Vinho doc alentejo reseva branco,Garrafa de 0.75 l,2.99,3.99,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/11D5FD31BE53576219787F9D101E8F85.jpg,,,,,,1000 Artigos,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
8929,5601377319082,750.0,Monsaraz,Vinho doc alentejo branco,"Garrafa de 0,75 l",2.89,3.85,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/57A61372BA394565717B5AEFA7626E3C.jpg,,,,,,1000 Artigos,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
9011,5601531101102,750.0,Deu-la-deu,Vinho Verde Alvarinho Branco,Garrafa de 0.75 l,5.89,7.85,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A59DDCB43A3BD6CCA2CD4215292E0BC5.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
9141,5602068000081,750.0,Murganheira,Espumante doce reserva,Garrafa de 750 ml,10.99,14.65,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/04A0D24E8E481E5B508A2858B70C0E87.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
9164,5602154601499,750.0,Adega de Borba,Vinho doc alentejo branco,Garrafa de 0.75 l,2.89,3.85,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A3BA3E1F3DC5EDC5F70E270024BFEDDC.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
9914,7613034515643,400.0,Yogolino,Nestle iogolino prep iog bolacha 100g,Embalagem de 400g,2.54,6.35,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/63C83CFCB263E0E094FFB547D1F58C13.jpg,,,,,,1000 Artigos,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
10225,8410436170734,,Palette,Coloração Permanente Preto |1.0,,3.89,3.89,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/3D320481C3E167112FB4631E709E7762.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
10229,8410436171014,,Palette,Coloração Permanente Louro Escuro |6,,3.89,3.89,0,,€/Unidade,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7FC818F9C38775A51FAF7DC630A628FB.jpg,,,,,,1000 Artigos,2024-10-04T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
11403,5411188100324,500.0,Alpro,"Yofu com pedaços de mirtilo,  4x125 g",,2.54,5.08,0,kg,€/Kg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A16B1848AAE46EC6E247323D1789AB93.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
11658,5601213002543,750.0,Alabastro,Vinho tinto alentejo,"Garrafa de 0,75 l",3.69,4.92,750,L,€/L,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7A543A89D4EDB0C1C650B951869EE2D1.jpg,,,,,,,2024-10-02T23:59:59.999999999+01:00,PROSPECTUS,13,8,,
