identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,avantages_dateFin,avantages_categorie,nro_paginas,page
18565,5604321012039,13.0,Cemporcento,"Infusão tília, embalagem de 10 unidades",,0.69,53.08,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1BC4EDD0CB232F1D3B6E0FA7A60FFC69.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
19796,5601174205007,750.0,Periquita,"Vinho tinto regional península de setúbal reserva, garrafa de 0.75 l",,6.99,9.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5A0A320C0B69C925B0F79D6D7DCF555E.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
20242,8410036039295,600.0,Freixenet,"Espumante cava bruto, pack 3 x 200 ml",,9.99,16.65,600,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/97278FF280683297354ABBCBC4BB8AAB.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
20468,5601385503176,,Aquafresh,Escova de Dentes Extra Interdental,1 + 1 unidades,2.59,2.59,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6EB0AF8EA36F700AFA23A8E14FD19291.jpg,,,,,2024-12-11T23:59:59.999999999Z,PROSPECTUS,10,7
20648,5601174305004,750.0,Alambre,"Moscatel roxo setúbal, garrafa de 750 ml",,11.49,15.32,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0F031D29405B80D49FF22BA171BE944B.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
21835,8005125171033,,Baby Clementoni,Anéis Empilháveis,1 unidade,12.99,12.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E9DF4E94424184671120BAD70BC60C92.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
21888,4008601100651,250.0,Friedel,Pai Natal Chocolate,Embalagem 60G,1.29,5.16,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/4954B620D67DB91C3FBB0997DA7CA97F.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
21910,5607736715410,200.0,Jacquot,Bombons de Chocolate Pérolas Sortido Caixa,Embalagem de 200g,5.99,29.95,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D89155BB98960D147AAEBFC3ECD49A00.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
21986,5600328290777,700.0,Martha's,Aguardente Vínica Velha,"Garrafa 0,70L c/ Caixa de Madeira",17.99,25.7,700,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5D2393C7A8A5FA3F1AA74EA833D1C982.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
22245,8410740050616,100.0,Lacasa,Trufas Cacau,Embalagem 200g,2.49,24.9,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/2D36B98BE8594B6DF3F615B10351CC6D.jpg,,,,,2024-12-24T23:59:59.999999999Z,PROSPECTUS,10,7
