identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,avantages_dateFin,avantages_categorie,nro_paginas,page,images_4
52368,8428076006580,,Veet,"Bandas depilatórias cera fria axilas expert, 16 unidades",,5.94,5.94,16,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/7B7560EA8B50B307A83CD8FE310183D8.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52369,8428076006573,,Veet,Bandas Depilatórias Cera Fria Bikini Expert,Embalagem de 16 unidades,5.94,5.94,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9458FB2E629AB225B0203F501DF9B271.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52370,8428076006320,,Veet,"Bandas depilatórias cera fria expert corpo pele normal, 16 unidades",,7.34,7.34,16,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0D294D4397BE6E43D960E432DEEAE551.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52371,8428076006290,100.0,Veet,"Creme depilatório axilas expert, embalagem de 100ml",,5.94,59.4,100,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/90BD45E65AD9CAC5018D2E34F3FD116C.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52540,8718951562080,,Colgate,Escova de Dentes 360 Média,,2.99,2.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/0E5EC3792A6EE21D15432CE75CD79564.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52547,8718951465893,,Colgate,Escova de Dentes Pilhas 360 Floss Tip Média,,10.34,10.34,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/E8E51CD5758AB730D2EBE58262FBBBFB.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52548,8718951490765,,Colgate,"Escova de Dentes Total Média, 2 unidades",,2.99,2.99,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5A8614A3929DA14DACFC4C6E26558F86.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52551,8718951006188,500.0,Colgate,Elixir Bucal Plax Tea & Lemon,Embalagem de 500 ml,4.19,8.38,500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/9127AE7A530387D8D09D43A99A1AD99B.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52576,5600240465024,10000.0,Bluechem,"Adblue, 10 litros",,12.99,1.3,10000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/D5DAFBA4571B919934976D14DD5618F7.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
52730,5029053582955,,Scottex,"Papel Higiénico Megarolo, 18 rolos",,7.98,7.98,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/36CCF0F2DF4E5768A28A299ACAD0B0CB.jpg,,,,2025-07-02T23:59:59.999999999+01:00,PROSPECTUS,13,11,
